time,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.fluid_pressure,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.temperature,field.alt_error,field.aspd_error,field.xtrack_error,field.wp_dist,field.measured.pitch,field.measured.roll,field.measured.yaw,field.airspeed,label
46:35.3,0.492,0.02,-0.056,-0.22555295,0.2157463,8.97308475,97443.31665,-857000.0,-137000.0,-1053000.0,41.73,-0.179999992,-350.7492065,-31.18383789,13.0,-0.930810094,6.193175793,-58.97834015,0,0
46:35.3,0.492,0.02,-0.056,-0.22555295,0.2157463,8.97308475,97443.31665,-857000.0,-137000.0,-1053000.0,41.73,-0.179999992,-350.7492065,-31.18383789,13.0,-0.930810094,6.193175793,-58.97834015,0,0
46:35.4,0.491,0.0105,-0.059,-0.230456275,0.240262925,9.281994225,97442.48657,-235000.0,-155500.0,-1039500.0,41.73,-0.179999992,-350.7492065,-31.18383789,13.0,-0.930810094,6.193175793,-58.97834015,0,0
46:35.4,0.49,0.001,-0.062,-0.2353596,0.26477955,9.5909037,97441.65649,387000.0,-174000.0,-1026000.0,41.73,-0.169999994,-344.9312134,-30.31964397,13.5,-1.341503918,13.49366546,-58.14720345,0,0
46:35.4,0.486,-0.004333333,-0.063333333,-0.238628483,0.330157217,9.50264385,97440.16113,-229000.0,-169000.0,-1103000.0,41.72666667,-0.159999996,-339.1132202,-29.45545006,14.0,-1.752197742,20.79415512,-57.31606674,0,0
46:35.5,0.482,-0.009666667,-0.064666667,-0.241897367,0.395534883,9.414384,97438.66577,-845000.0,-164000.0,-1180000.0,41.72333333,-0.159999996,-339.1132202,-29.45545006,14.0,-1.752197742,20.79415512,-57.31606674,0,0
46:35.5,0.478,-0.015,-0.066,-0.24516625,0.46091255,9.32612415,97437.17041,-1461000.0,-159000.0,-1257000.0,41.72,-0.140000001,-339.1132202,-27.71725082,16.0,-1.752197742,20.79415512,-57.31606674,0,0
46:35.6,0.413,-0.028,-0.0765,-0.1765197,0.563882375,9.840973275,97440.09705,-1558500.0,-164500.0,-1078000.0,41.72,-0.140000001,-339.1132202,-27.71725082,16.0,-1.752197742,20.79415512,-57.31606674,0,0
46:35.6,0.348,-0.041,-0.087,-0.10787315,0.6668522,10.3558224,97443.02368,-1656000.0,-170000.0,-899000.0,41.72,-0.109999999,-339.4086914,-275.2011414,18.0,-1.752197742,20.79415512,-57.31606674,0,0
46:35.6,0.317666667,-0.039333333,-0.098,-0.124217567,0.712616567,10.24794925,97442.95858,-2007333.333,-169333.3333,-975666.6667,41.71666667,-0.109999999,-339.4086914,-275.2011414,18.0,-1.752197742,20.79415512,-57.31606674,0,0
46:35.7,0.287333333,-0.037666667,-0.109,-0.140561983,0.758380933,10.1400761,97442.89347,-2358666.667,-168666.6667,-1052333.333,41.71333333,-0.109999999,-339.4086914,-275.2011414,18.0,-1.752197742,20.79415512,-57.31606674,0,0
46:35.7,0.257,-0.036,-0.12,-0.1569064,0.8041453,10.03220295,97442.82837,-2710000.0,-168000.0,-1129000.0,41.71,-0.109999999,-339.4086914,-275.2011414,18.0,-1.752197742,20.79415512,-57.31606674,0,0
46:35.8,0.0885,-0.034,-0.1405,-0.0980665,0.81395195,9.83606995,97444.11927,-2245000.0,-177500.0,-440000.0,41.71,-0.07,-239.4086914,-273.7133789,20.0,-1.752197742,20.79415512,-57.31606674,0,0
46:35.8,-0.08,-0.032,-0.161,-0.0392266,0.8237586,9.63993695,97445.41016,-1780000.0,-187000.0,249000.0,41.71,-0.045,-236.7805481,-272.9779511,20.5,-1.967191696,24.60228253,-56.2445488,0,0
46:35.8,-0.122,-0.0285,-0.17,-0.063743225,0.8237586,9.6497436,97443.67371,-1069500.0,-200000.0,-378500.0,41.705,-0.02,-234.1524048,-272.2425232,21.0,-2.18218565,28.41040993,-55.17303085,0,0
46:35.9,-0.164,-0.025,-0.179,-0.08825985,0.8237586,9.65955025,97441.93726,-359000.0,-213000.0,-1006000.0,41.7,-0.02,-234.1524048,-272.2425232,21.0,-2.18218565,28.41040993,-55.17303085,0,0
46:35.9,-0.166,-0.01775,-0.19075,-0.129938113,0.789435325,9.529612138,97443.779,-422750.0,-211250.0,-983500.0,41.7,0.005,-234.1524048,-271.5197602,22.0,-2.18218565,28.41040993,-55.17303085,0,0
46:36.0,-0.168,-0.0105,-0.2025,-0.171616375,0.75511205,9.399674025,97445.62073,-486500.0,-209500.0,-961000.0,41.7,0.029999999,-234.1524048,-270.7969971,23.0,-2.18218565,28.41040993,-55.17303085,0,0
46:36.0,-0.17,-0.00325,-0.21425,-0.213294638,0.720788775,9.269735913,97447.46247,-550250.0,-207750.0,-938500.0,41.7,0.029999999,-234.1524048,-270.7969971,23.0,-2.18218565,28.41040993,-55.17303085,0,0
46:36.0,-0.172,0.004,-0.226,-0.2549729,0.6864655,9.1397978,97449.3042,-614000.0,-206000.0,-916000.0,41.7,0.099999994,-234.8590851,-269.3768616,25.0,-2.18218565,28.41040993,-55.17303085,0,0
46:36.1,-0.1685,0.01,-0.2355,-0.328522775,0.61781895,9.022118,97445.9961,-560500.0,-206000.0,-887000.0,41.7,0.099999994,-234.8590851,-269.3768616,25.0,-2.18218565,28.41040993,-55.17303085,0,0
46:36.1,-0.165,0.016,-0.245,-0.40207265,0.5491724,8.9044382,97442.68799,-507000.0,-206000.0,-858000.0,41.7,0.139999993,-234.8590851,-268.6751709,25.5,-2.18218565,28.41040993,-55.17303085,0,0
46:36.2,-0.1645,0.027,-0.2435,-0.573689025,0.652142225,8.77695175,97441.70227,-465500.0,-205000.0,-833000.0,41.695,0.179999992,-234.8590851,-267.9734802,26.0,-2.18218565,28.41040993,-55.17303085,0,0
46:36.2,-0.164,0.038,-0.242,-0.7453054,0.75511205,8.6494653,97440.71655,-424000.0,-204000.0,-808000.0,41.69,0.229999997,-241.5075302,-267.2803345,27.0,-2.18218565,28.41040993,-55.17303085,0,0
46:36.2,-0.17,0.04375,-0.242,-0.796790313,0.784532,8.615142025,97442.9184,-400500.0,-203250.0,-792250.0,41.69,0.280000001,-248.1559753,-266.5871887,28.0,-2.18218565,28.41040993,-55.17303085,0,0
46:36.3,-0.176,0.0495,-0.242,-0.848275225,0.81395195,8.58081875,97445.12024,-377000.0,-202500.0,-776500.0,41.69,0.280000001,-248.1559753,-266.5871887,28.0,-2.18218565,28.41040993,-55.17303085,0,0
46:36.3,-0.182,0.05525,-0.242,-0.899760138,0.8433719,8.546495475,97447.32208,-353500.0,-201750.0,-760750.0,41.69,0.339999989,-248.1559753,-265.9024811,29.0,-3.737514258,26.26812077,-52.42431069,0,0
46:36.4,-0.188,0.061,-0.242,-0.95124505,0.87279185,8.5121722,97449.52393,-330000.0,-201000.0,-745000.0,41.69,0.399999976,-248.1559753,-265.2177734,30.0,-5.292842865,24.1258316,-49.67559052,0,0
46:36.4,-0.261,0.062,-0.252,-0.79433865,0.5295591,8.4533323,97443.98804,-268000.0,-198000.0,-697000.0,41.68,0.399999976,-248.1559753,-265.2177734,30.0,-5.292842865,24.1258316,-49.67559052,0,0
46:36.4,-0.287666667,0.071666667,-0.247666667,-0.859716317,0.503408033,8.12971285,97444.07552,-241000.0,-195666.6667,-683000.0,41.68,0.539999962,-243.2518005,-263.8736267,32.0,-5.292842865,24.1258316,-49.67559052,0,0
46:36.5,-0.314333333,0.081333333,-0.243333333,-0.925093983,0.477256967,7.8060934,97444.16301,-214000.0,-193333.3333,-669000.0,41.68,0.539999962,-243.2518005,-263.8736267,32.0,-5.292842865,24.1258316,-49.67559052,0,0
46:36.5,-0.341,0.091,-0.239,-0.99047165,0.4511059,7.48247395,97444.25049,-187000.0,-191000.0,-655000.0,41.68,0.699999988,-243.2518005,-262.5379944,33.0,-5.292842865,24.1258316,-49.67559052,0,0
46:36.6,-0.2915,0.0975,-0.236,-1.12776475,0.544269075,7.693316925,97445.37659,-159000.0,-185000.0,-640000.0,41.68,0.699999988,-243.2518005,-262.5379944,33.0,-5.292842865,24.1258316,-49.67559052,0,0
46:36.6,-0.242,0.104,-0.233,-1.26505785,0.63743225,7.9041599,97446.50269,-131000.0,-179000.0,-625000.0,41.68,0.794999987,-245.7487106,-261.8870697,34.0,-6.078825951,22.84576177,-48.76267529,0,0
46:36.6,-0.233666667,0.109,-0.226666667,-1.22583125,0.503408033,7.63938035,97446.91773,-109333.3333,-176333.3333,-613666.6667,41.67666667,0.889999986,-248.2456207,-261.236145,35.0,-6.864809037,21.56569195,-47.84976006,0,0
46:36.7,-0.225333333,0.114,-0.220333333,-1.18660465,0.369383817,7.3746008,97447.33276,-87666.66667,-173666.6667,-602333.3333,41.67333333,0.990000009,-248.2456207,-260.5937195,36.0,-7.650792122,20.28562212,-46.93684483,0,0
46:36.7,-0.217,0.119,-0.214,-1.14737805,0.2353596,7.10982125,97447.7478,-66000.0,-171000.0,-591000.0,41.67,1.090000033,-248.2456207,-259.9512939,37.0,-8.436775208,19.00555229,-46.0239296,0,0
46:36.8,-0.2345,0.1235,-0.201,-1.279767825,0.24516625,7.252017675,97447.33887,-37000.0,-167500.0,-572500.0,41.67,1.214999973,-244.5248642,-259.3003693,37.5,-8.436775208,19.00555229,-46.0239296,0,0
46:36.8,-0.252,0.128,-0.188,-1.4121576,0.2549729,7.3942141,97446.92993,-8000.0,-164000.0,-554000.0,41.67,1.339999914,-240.8041077,-258.6494446,38.0,-8.436775208,19.00555229,-46.0239296,0,0
46:36.8,-0.234,0.135666667,-0.179333333,-1.44157755,0.143830867,7.341911967,97448.75692,5000.0,-160666.6667,-547666.6667,41.66666667,1.339999914,-240.8041077,-258.6494446,38.0,-8.436775208,19.00555229,-46.0239296,0,0
46:36.9,-0.216,0.143333333,-0.170666667,-1.4709975,0.032688833,7.289609833,97450.5839,18000.0,-157333.3333,-541333.3333,41.66333333,1.46999991,-240.8041077,-258.0196839,39.0,-8.436775208,19.00555229,-46.0239296,0,0
46:36.9,-0.198,0.151,-0.162,-1.50041745,-0.0784532,7.2373077,97452.41089,31000.0,-154000.0,-535000.0,41.66,1.599999905,-240.8041077,-257.3899231,40.0,-8.436775208,19.00555229,-46.0239296,0,0
46:37.0,-0.1795,0.1405,-0.154,-1.52003075,0.2549729,6.938204875,97453.70179,49000.0,-150000.0,-524000.0,41.66,1.599999905,-240.8041077,-257.3899231,40.0,-8.436775208,19.00555229,-46.0239296,0,0
46:37.0,-0.161,0.13,-0.146,-1.53964405,0.588399,6.63910205,97454.99268,67000.0,-146000.0,-513000.0,41.66,1.599999905,-240.8041077,-257.3899231,40.0,-8.436775208,19.00555229,-46.0239296,0,0
46:37.0,-0.162333333,0.138,-0.131333333,-1.55925735,0.241897367,6.743706317,97455.65796,77666.66667,-144000.0,-507666.6667,41.65666667,1.749999941,-233.1410447,-256.7517243,41.0,-10.61004639,16.42050839,-44.34200669,0,0
46:37.1,-0.163666667,0.146,-0.116666667,-1.57887065,-0.104604267,6.848310583,97456.32325,88333.33333,-142000.0,-502333.3333,41.65333333,1.899999976,-225.4779816,-256.1135254,42.0,-12.78331757,13.83546448,-42.66008377,0,0
46:37.1,-0.165,0.154,-0.102,-1.59848395,-0.4511059,6.95291485,97456.98853,99000.0,-140000.0,-497000.0,41.65,2.220000029,-225.4779816,-254.8622589,43.0,-12.78331757,13.83546448,-42.66008377,0,0
46:37.2,-0.176333333,0.150666667,-0.081666667,-1.6671305,-0.20593965,6.81562175,97457.97119,107666.6667,-138333.3333,-492666.6667,41.65,2.399999977,-228.7682572,-254.2494126,44.0,-12.78331757,13.83546448,-42.66008377,0,0
46:37.2,-0.187666667,0.147333333,-0.061333333,-1.73577705,0.0392266,6.67832865,97458.95386,116333.3333,-136666.6667,-488333.3333,41.65,2.579999924,-232.0585327,-253.6365662,45.0,-12.78331757,13.83546448,-42.66008377,0,0
46:37.2,-0.199,0.144,-0.041,-1.8044236,0.28439285,6.54103555,97459.93652,125000.0,-135000.0,-484000.0,41.65,2.579999924,-232.0585327,-253.6365662,45.0,-12.78331757,13.83546448,-42.66008377,0,0
46:37.3,-0.1795,0.143,-0.036,-1.8436502,0.5295591,6.4920023,97462.07275,132000.0,-131000.0,-480000.0,41.645,2.579999924,-232.0585327,-253.6365662,45.0,-12.78331757,13.83546448,-42.66008377,0,0
