field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.fluid_pressure,field.temperature,field.measured.pitch,field.measured.roll,field.measured.yaw,field.alt_error,field.aspd_error,field.xtrack_error,field.wp_dist,label
1.096,-0.242,0.064,-1.5102241,0.18632635,16.0436794,23000.0,-139000.0,-471000.0,96871.60645,61.64,-7.142740726,-13.54684639,-84.1689682,1.629999995,-700.578125,-384.2896729,13.0,0
1.026,-0.2416666666666666,0.0593333333333333,-1.5265685166666667,0.2222840666666666,16.0240661,22666.666666666668,-156666.66666666666,-462666.6666666667,96870.82316333332,61.64,-7.142740726,-13.54684639,-84.1689682,1.6049999595,-705.5938720500001,-383.1696167,14.0,0
0.956,-0.2413333333333333,0.0546666666666666,-1.5429129333333331,0.2582417833333333,16.0044528,22333.33333333333,-174333.33333333334,-454333.3333333333,96870.03987666668,61.64,-7.142740726,-13.54684639,-84.1689682,1.579999924,-710.6096191,-382.0495605,15.0,0
0.886,-0.241,0.05,-1.55925735,0.2941995,15.9848395,22000.0,-192000.0,-446000.0,96869.25659,61.64,-7.142740726,-13.54684639,-84.1689682,1.579999924,-710.6096191,-382.0495605,15.0,0
0.73,-0.2375,0.0255,-1.603387275,0.4952358249999999,15.401343825,19000.0,-214500.0,-434500.0,96868.878175,61.635000000000005,-3.9329594965,1.2463521949999985,-84.814170835,1.514999926,-716.2286682,-380.9421997,16.0,0
0.574,-0.234,0.001,-1.6475172,0.69627215,14.81784815,16000.0,-237000.0,-423000.0,96868.49976,61.63,-0.723178267,16.03955078,-85.45937347,1.449999928,-721.8477173,-379.8348389,17.0,0
0.5466666666666666,-0.2226666666666666,-0.0476666666666666,-1.6344416666666666,0.6995410333333333,14.340591183333332,14333.333333333334,-247000.0,-416333.3333333333,96867.79785333334,61.626666666666665,-0.723178267,16.03955078,-85.45937347,1.24000001,-715.0060425,-377.6539307,19.0,0
0.5193333333333333,-0.2113333333333333,-0.0963333333333333,-1.6213661333333331,0.7028099166666667,13.863334216666669,12666.666666666666,-257000.0,-409666.6666666667,96867.09594666668,61.623333333333335,-0.723178267,16.03955078,-85.45937347,1.24000001,-715.0060425,-377.6539307,19.0,0
0.492,-0.2,-0.145,-1.6082906,0.7060788,13.38607725,11000.0,-267000.0,-403000.0,96866.39404,61.62,-0.723178267,16.03955078,-85.45937347,1.11499998,-708.8255920500001,-376.5719147,20.5,0
0.4523333333333333,-0.2003333333333333,-0.1753333333333333,-1.6703993833333333,0.8041453,12.7290317,9333.333333333334,-274000.0,-396666.6666666667,96864.72574666666,61.61333333333333,-0.723178267,16.03955078,-85.45937347,0.98999995,-702.6451416,-375.4898987,22.0,0
