field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.fluid_pressure,field.temperature,field.measured.pitch,field.measured.roll,field.measured.yaw,field.alt_error,field.aspd_error,field.xtrack_error,field.wp_dist,label
1.102,-0.002,-0.086,-0.91201845,0.26477955,9.87529655,-297000.0,-350000.0,-445000.0,97678.10059,44.58,-1.764374137,-0.746342957,-99.07022095,-0.129999995,-449.1855469,-39.86863709,4.0,0
1.102,-0.002,-0.086,-0.91201845,0.26477955,9.87529655,-297000.0,-350000.0,-445000.0,97678.10059,44.58,-1.472196221,4.578017712,-98.9914856,-0.199999988,-454.8774719,-37.65930176,6.0,0
1.102,-0.002,-0.086,-0.91201845,0.26477955,9.87529655,-297000.0,-350000.0,-445000.0,97678.10059,44.58,-1.472196221,4.578017712,-98.9914856,-0.223333319,-454.8774719,-36.92708461,6.666666667,0
1.128333333,-0.016666667,-0.079,-0.944707283,0.248435133,10.20545377,-270666.6667,-346666.6667,-441333.3333,97677.93172,44.58,-1.472196221,4.578017712,-98.9914856,-0.24666665,-454.8774719,-36.19486745,7.333333333,0
1.154666667,-0.031333333,-0.072,-0.977396117,0.232090717,10.53561098,-244333.3333,-343333.3333,-437666.6667,97677.76286,44.58,-1.472196221,4.578017712,-98.9914856,-0.269999981,-454.8774719,-35.4626503,8.0,0
1.181,-0.046,-0.065,-1.01008495,0.2157463,10.8657682,-218000.0,-340000.0,-434000.0,97677.59399,44.58,-1.472196221,4.578017712,-98.9914856,-0.269999981,-454.8774719,-35.4626503,8.0,0
1.0745,-0.01,-0.0595,-1.054214875,0.36284605,10.66473188,-221500.0,-367500.0,-417000.0,97669.4519,44.575,-1.472196221,4.578017712,-98.9914856,-0.340000004,-446.5213623,-37.01639938,11.0,0
0.968,0.026,-0.054,-1.0983448,0.5099458,10.46369555,-225000.0,-395000.0,-400000.0,97661.30981,44.57,-1.472196221,4.578017712,-98.9914856,-0.340000004,-446.5213623,-37.01639938,11.0,0
0.9055,0.011,-0.0655,-1.064021525,0.6668522,9.3947707,-227000.0,-424500.0,-385500.0,97665.3595,44.57,-1.472196221,4.578017712,-98.9914856,-0.340000004,-446.5213623,-37.01639938,11.0,0
0.843,-0.004,-0.077,-1.02969825,0.8237586,8.32584585,-229000.0,-454000.0,-371000.0,97669.40918,44.57,-1.839698195,23.68091202,-97.8540802,-0.419999987,-346.5213623,-34.8777504,13.0,0
0.737666667,-0.036,-0.088333333,-1.032967133,0.81395195,8.54159215,-228666.6667,-460333.3333,-358000.0,97667.93416,44.56666667,-1.839698195,23.68091202,-97.8540802,-0.437499985,-341.2605133,-34.34308815,13.5,0
0.632333333,-0.068,-0.099666667,-1.036236017,0.8041453,8.75733845,-228333.3333,-466666.6667,-345000.0,97666.45915,44.56333333,-1.839698195,23.68091202,-97.8540802,-0.454999984,-335.9996643,-33.80842591,14.0,0
0.527,-0.1,-0.111,-1.0395049,0.79433865,8.97308475,-228000.0,-473000.0,-332000.0,97664.98413,44.56,-1.839698195,23.68091202,-97.8540802,-0.49333332,-332.4924316,-32.74191856,15.0,0
0.499,-0.1375,-0.1355,-0.9610517,0.838468575,9.46341725,-244500.0,-509500.0,-314000.0,97667.81616,44.56,-1.839698195,23.68091202,-97.8540802,-0.531666657,-328.985199,-31.67541122,16.0,0
0.471,-0.175,-0.16,-0.8825985,0.8825985,9.95374975,-261000.0,-546000.0,-296000.0,97670.64819,44.56,-1.839698195,23.68091202,-97.8540802,-0.569999993,-325.4779663,-30.60890388,17.0,0
0.408,-0.182,-0.172666667,-0.846640783,0.915287333,10.54868652,-274000.0,-560666.6667,-282000.0,97670.2067,44.55666667,-1.839698195,23.68091202,-97.8540802,-0.569999993,-325.4779663,-30.60890388,17.0,0
0.345,-0.189,-0.185333333,-0.810683067,0.947976167,11.14362328,-287000.0,-575333.3333,-268000.0,97669.76522,44.55333333,-1.839698195,23.68091202,-97.8540802,-0.569999993,-325.4779663,-30.60890388,17.0,0
0.282,-0.196,-0.198,-0.77472535,0.980665,11.73856005,-300000.0,-590000.0,-254000.0,97669.32373,44.55,-1.365558147,33.15292358,-95.25445557,-0.629999995,-300.8220825,-28.49561119,19.0,0
0.2595,-0.197,-0.2145,-0.63743225,0.916921775,11.34629405,-315500.0,-620500.0,-241500.0,97670.4895,44.55,-1.365558147,33.15292358,-95.25445557,-0.629999995,-300.8220825,-28.49561119,19.0,0
0.237,-0.198,-0.231,-0.50013915,0.85317855,10.95402805,-331000.0,-651000.0,-229000.0,97671.65527,44.55,-1.365558147,33.15292358,-95.25445557,-0.680000007,-300.8220825,-26.37386894,21.0,0
0.201333333,-0.206333333,-0.232666667,-0.356308283,0.840103017,11.74509782,-343333.3333,-661333.3333,-218333.3333,97670.45695,44.55,-1.365558147,33.15292358,-95.25445557,-0.680000007,-300.8220825,-26.37386894,21.0,0
0.165666667,-0.214666667,-0.234333333,-0.212477417,0.827027483,12.53616758,-355666.6667,-671666.6667,-207666.6667,97669.25862,44.55,-1.365558147,33.15292358,-95.25445557,-0.710000009,-289.299881,-25.32145023,22.0,0
0.13,-0.223,-0.236,-0.06864655,0.81395195,13.32723735,-368000.0,-682000.0,-197000.0,97668.0603,44.55,-1.365558147,33.15292358,-95.25445557,-0.725000009,-283.5387802,-24.79524087,22.5,0
0.0895,-0.2035,-0.2345,-0.073549875,0.75511205,12.7682583,-407000.0,-735000.0,-188500.0,97670.7489,44.545,-1.365558147,33.15292358,-95.25445557,-0.74000001,-277.7776794,-24.26903152,23.0,0
0.049,-0.184,-0.233,-0.0784532,0.69627215,12.20927925,-446000.0,-788000.0,-180000.0,97673.4375,44.54,-1.365558147,33.15292358,-95.25445557,-0.789999962,-277.7776794,-22.15574074,25.0,0
0.092,-0.217333333,-0.220333333,-0.0392266,0.6668522,12.30407687,-462666.6667,-788333.3333,-173333.3333,97675.01017,44.54,-1.365558147,33.15292358,-95.25445557,-0.789999962,-277.7776794,-22.15574074,25.0,0
0.135,-0.250666667,-0.207666667,0.0,0.63743225,12.39887448,-479333.3333,-788666.6667,-166666.6667,97676.58285,44.54,-0.525164902,37.24364471,-88.42036438,-0.849999964,-251.4442444,-20.09316826,27.0,0
0.178,-0.284,-0.195,0.0392266,0.6080123,12.4936721,-496000.0,-789000.0,-160000.0,97678.15552,44.54,-0.525164902,37.24364471,-88.42036438,-0.849999964,-251.4442444,-20.09316826,27.0,0
0.2005,-0.341,-0.1875,0.191229675,0.710982125,14.35203228,-519000.0,-841500.0,-143500.0,97678.49732,44.535,-0.525164902,37.24364471,-88.42036438,-0.849999964,-251.4442444,-20.09316826,27.0,0
0.223,-0.398,-0.18,0.34323275,0.81395195,16.21039245,-542000.0,-894000.0,-127000.0,97678.83911,44.53,-0.525164902,37.24364471,-88.42036438,-0.899999976,-251.4442444,-17.98833084,30.0,0
0.156,-0.390333333,-0.169333333,0.487063617,0.954513933,15.95541955,-557000.0,-897000.0,-113333.3333,97679.85636,44.53,-0.525164902,37.24364471,-88.42036438,-0.899999976,-251.4442444,-17.98833084,30.0,0
0.089,-0.382666667,-0.158666667,0.630894483,1.095075917,15.70044665,-572000.0,-900000.0,-99666.66667,97680.87362,44.53,-0.525164902,37.24364471,-88.42036438,-0.98999995,-242.9887695,-15.91730595,32.0,0
0.022,-0.375,-0.148,0.77472535,1.2356379,15.44547375,-587000.0,-903000.0,-86000.0,97681.89087,44.53,-0.525164902,37.24364471,-88.42036438,-0.98999995,-242.9887695,-15.91730595,32.0,0
0.052,-0.337333333,-0.149,0.6864655,1.533106283,14.9453346,-614333.3333,-932000.0,-77333.33333,97683.21126,44.52666667,-0.525164902,37.24364471,-88.42036438,-0.98999995,-242.9887695,-15.91730595,32.0,0
0.082,-0.299666667,-0.15,0.59820565,1.830574667,14.44519545,-641666.6667,-961000.0,-68666.66667,97684.53166,44.52333333,-0.525164902,37.24364471,-88.42036438,-1.090000033,-242.9887695,-13.87164021,34.0,0
0.112,-0.262,-0.151,0.5099458,2.12804305,13.9450563,-669000.0,-990000.0,-60000.0,97685.85205,44.52,0.570159873,38.36585998,-86.05906423,-1.133333365,-227.7384389,-13.18411637,34.66666667,0
0.062,-0.265333333,-0.209,0.555710167,2.036514317,13.17686872,-681333.3333,-1004333.333,-52000.0,97687.7889,44.52,1.665484647,39.48807526,-83.69776408,-1.176666697,-212.4881083,-12.49659252,35.33333333,0
0.012,-0.268666667,-0.267,0.601474533,1.944985583,12.40868113,-693666.6667,-1018666.667,-44000.0,97689.72575,44.52,2.760809422,40.61029053,-81.33646393,-1.220000029,-197.2377777,-11.80906868,36.0,0
-0.038,-0.272,-0.325,0.6472389,1.85345685,11.64049355,-706000.0,-1033000.0,-36000.0,97691.6626,44.52,2.760809422,40.61029053,-81.33646393,-1.285000027,-197.2377777,-10.79891586,37.0,0
-0.074,-0.324,-0.347,0.6472389,1.7063571,12.67999845,-748500.0,-1064000.0,-25000.0,97692.6117,44.515,2.760809422,40.61029053,-81.33646393,-1.350000024,-197.2377777,-9.788763046,38.0,0
-0.11,-0.376,-0.369,0.6472389,1.55925735,13.71950335,-791000.0,-1095000.0,-14000.0,97693.56079,44.51,2.760809422,40.61029053,-81.33646393,-1.350000024,-197.2377777,-9.788763046,38.0,0
0.054,-0.3915,-0.371,0.779628675,1.4513842,13.7881499,-759000.0,-1072000.0,-25500.0,97694.91577,44.51,2.760809422,40.61029053,-81.33646393,-1.350000024,-197.2377777,-9.788763046,38.0,0
0.218,-0.407,-0.373,0.91201845,1.34351105,13.85679645,-727000.0,-1049000.0,-37000.0,97696.27075,44.51,2.760809422,40.61029053,-81.33646393,-1.49000001,-190.0918884,-7.768456936,40.0,0
0.221,-0.42225,-0.3675,0.929180088,1.257702863,14.03331615,-723500.0,-1048500.0,-38250.0,97695.72449,44.51,2.760809422,40.61029053,-81.33646393,-1.49000001,-190.0918884,-7.768456936,40.0,0
0.224,-0.4375,-0.362,0.946341725,1.171894675,14.20983585,-720000.0,-1048000.0,-39500.0,97695.17822,44.51,2.760809422,40.61029053,-81.33646393,-1.555000008,-190.0918884,-6.787889958,41.0,0
0.227,-0.45275,-0.3565,0.963503363,1.086086488,14.38635555,-716500.0,-1047500.0,-40750.0,97694.63196,44.51,2.760809422,40.61029053,-81.33646393,-1.620000005,-190.0918884,-5.807322979,42.0,0
0.23,-0.468,-0.351,0.980665,1.0002783,14.56287525,-713000.0,-1047000.0,-42000.0,97694.08569,44.51,2.760809422,40.61029053,-81.33646393,-1.689999998,-185.9740219,-4.839435816,42.5,0
0.281,-0.361,-0.306,0.9022118,1.12776475,13.46453045,-711000.0,-1050000.0,-32000.0,97681.03638,44.5,2.760809422,40.61029053,-81.33646393,-1.75999999,-181.8561554,-3.871548653,43.0,0
0.172333333,-0.376666667,-0.301333333,0.9414384,1.173529117,13.94178742,-704666.6667,-1050000.0,-27333.33333,97683.24178,44.5,3.50276351,42.91119767,-73.82544709,-1.824999988,-181.8561554,-2.920567811,44.0,0
0.063666667,-0.392333333,-0.296666667,0.980665,1.219293483,14.41904438,-698333.3333,-1050000.0,-22666.66667,97685.44719,44.5,4.244717598,45.2121048,-66.31443024,-1.889999986,-181.8561554,-1.969586968,45.0,0
-0.045,-0.408,-0.292,1.0198916,1.26505785,14.89630135,-692000.0,-1050000.0,-18000.0,97687.65259,44.5,4.244717598,45.2121048,-66.31443024,-1.889999986,-181.8561554,-1.969586968,45.0,0
-0.071,-0.4395,-0.276,1.1375714,0.95124505,15.96032288,-695000.0,-1054000.0,-19000.0,97681.93055,44.495,4.244717598,45.2121048,-66.31443024,-1.889999986,-181.8561554,-1.969586968,45.0,0
-0.097,-0.471,-0.26,1.2552512,0.63743225,17.0243444,-698000.0,-1058000.0,-20000.0,97676.2085,44.49,4.244717598,45.2121048,-66.31443024,-2.039999962,-171.1809082,-0.135250613,47.0,0
-0.066,-0.468,-0.230666667,1.251982317,0.81395195,16.85763135,-698000.0,-1054666.667,-22666.66667,97675.43742,44.49,4.244717598,45.2121048,-66.31443024,-2.120000005,-171.1809082,0.765011229,48.0,0
-0.035,-0.465,-0.201333333,1.248713433,0.99047165,16.6909183,-698000.0,-1051333.333,-25333.33333,97674.66634,44.49,4.244717598,45.2121048,-66.31443024,-2.200000048,-171.1809082,1.66527307,49.0,0
-0.004,-0.462,-0.172,1.24544455,1.16699135,16.52420525,-698000.0,-1048000.0,-28000.0,97673.89526,44.49,4.244717598,45.2121048,-66.31443024,-2.299999953,-163.7941284,2.519042552,50.0,0
-0.1615,-0.4735,-0.1675,1.2160246,1.191507975,16.86253468,-697500.0,-1049000.0,-28000.0,97677.36816,44.49,4.244717598,45.2121048,-66.31443024,-2.399999857,-156.4073486,3.372812033,51.0,0
-0.319,-0.485,-0.163,1.18660465,1.2160246,17.2008641,-697000.0,-1050000.0,-28000.0,97680.84106,44.49,4.244717598,45.2121048,-66.31443024,-2.399999857,-156.4073486,3.372812033,51.0,0
-0.270666667,-0.463,-0.153333333,1.24544455,1.0787315,17.02761328,-699666.6667,-1049000.0,-31666.66667,97678.16976,44.48666667,5.954471827,45.10398102,-60.78260994,-2.514999867,-156.4073486,4.196995378,51.5,0
-0.222333333,-0.441,-0.143666667,1.30428445,0.9414384,16.85436247,-702333.3333,-1048000.0,-35333.33333,97675.49845,44.48333333,7.664226055,44.99585724,-55.25078964,-2.629999876,-156.4073486,5.021178722,52.0,0
-0.174,-0.419,-0.134,1.36312435,0.8041453,16.68111165,-705000.0,-1047000.0,-39000.0,97672.82715,44.48,7.664226055,44.99585724,-55.25078964,-2.697499871,-147.4988403,5.407910943,52.5,0
