field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.fluid_pressure,field.temperature,field.measured.pitch,field.measured.roll,field.measured.yaw,field.alt_error,field.aspd_error,field.xtrack_error,field.wp_dist,label
1.129,0.034,-0.235666667,-0.02941995,-0.26477955,6.733899667,-65666.66667,-121333.3333,-517000.0,97577.28475,41.48,-0.561371148,-1.5184623,-84.76848602,-0.289999992,-430.6856079,-40.08762169,3.0,0
1.214,0.031,-0.219333333,-0.196133,-0.26477955,6.652177583,-50333.33333,-130666.6667,-519000.0,97575.42521,41.48,-0.561371148,-1.5184623,-84.76848602,-0.349999994,-430.6856079,-39.07300568,4.0,0
1.299,0.028,-0.203,-0.36284605,-0.26477955,6.5704555,-35000.0,-140000.0,-521000.0,97573.56567,41.48,-0.561371148,-1.5184623,-84.76848602,-0.349999994,-430.6856079,-39.07300568,4.0,0
1.196666667,0.019,-0.164333333,-0.506676917,-0.359577167,7.528238317,-25666.66667,-156000.0,-515333.3333,97569.81608,41.47666667,-0.561371148,-1.5184623,-84.76848602,-0.349999994,-430.6856079,-39.07300568,4.0,0
1.094333333,0.01,-0.125666667,-0.650507783,-0.454374783,8.486021133,-16333.33333,-172000.0,-509666.6667,97566.06648,41.47333333,-2.181938171,14.22093105,-80.40459442,-0.429999977,-460.1051331,-37.04396439,6.0,0
0.992,0.001,-0.087,-0.79433865,-0.5491724,9.44380395,-7000.0,-188000.0,-504000.0,97562.31689,41.47,-2.181938171,14.22093105,-80.40459442,-0.429999977,-460.1051331,-37.04396439,6.0,0
0.897,-0.0255,-0.0225,-0.887501825,-0.485429175,10.10575283,-500.0,-212500.0,-490000.0,97559.42688,41.47,-2.181938171,14.22093105,-80.40459442,-0.454999983,-460.1051331,-36.02970505,7.0,0
0.802,-0.052,0.042,-0.980665,-0.42168595,10.7677017,6000.0,-237000.0,-476000.0,97556.53687,41.47,-2.181938171,14.22093105,-80.40459442,-0.479999989,-460.1051331,-35.01544571,8.0,0
0.761,-0.0765,0.067,-1.02969825,-0.3138128,10.48330885,10000.0,-257000.0,-460500.0,97552.54822,41.465,-2.181938171,14.22093105,-80.40459442,-0.519999981,-440.2715759,-74.28040314,10.0,0
0.72,-0.101,0.092,-1.0787315,-0.20593965,10.198916,14000.0,-277000.0,-445000.0,97548.55957,41.46,-2.181938171,14.22093105,-80.40459442,-0.519999981,-440.2715759,-74.28040314,10.0,0
0.69,-0.096666667,0.108,-1.052580433,-0.055571017,10.66636632,14000.0,-286000.0,-437000.0,97547.62166,41.46,-2.181938171,14.22093105,-80.40459442,-0.519999981,-440.2715759,-74.28040314,10.0,0
0.66,-0.092333333,0.124,-1.026429367,0.094797617,11.13381663,14000.0,-295000.0,-429000.0,97546.68376,41.46,-1.473328948,27.9854393,-80.37966156,-0.569999993,-340.2715759,-72.38535309,12.0,0
0.63,-0.088,0.14,-1.0002783,0.24516625,11.60126695,14000.0,-304000.0,-421000.0,97545.74585,41.46,-1.473328948,27.9854393,-80.37966156,-0.569999993,-340.2715759,-72.38535309,12.0,0
0.653,-0.083666667,0.120666667,-0.9610517,0.375921583,11.64703132,11333.33333,-311333.3333,-413333.3333,97545.51799,41.46,-1.473328948,27.9854393,-80.37966156,-0.629999995,-306.5542297,-70.4901123,14.0,0
0.676,-0.079333333,0.101333333,-0.9218251,0.506676917,11.69279568,8666.666667,-318666.6667,-405666.6667,97545.29012,41.46,-1.473328948,27.9854393,-80.37966156,-0.653333326,-306.5542297,-69.86489614,14.66666667,0
0.699,-0.075,0.082,-0.8825985,0.63743225,11.73856005,6000.0,-326000.0,-398000.0,97545.06226,41.46,-1.473328948,27.9854393,-80.37966156,-0.676666657,-306.5542297,-69.23967997,15.33333333,0
0.5485,-0.021,0.067,-0.926728425,0.67665885,11.60617028,6500.0,-338000.0,-383500.0,97546.57593,41.455,-1.473328948,27.9854393,-80.37966156,-0.699999988,-306.5542297,-68.61446381,16.0,0
0.398,0.033,0.052,-0.97085835,0.71588545,11.4737805,7000.0,-350000.0,-369000.0,97548.0896,41.45,-1.473328948,27.9854393,-80.37966156,-0.699999988,-306.5542297,-68.61446381,16.0,0
0.306,0.04,0.0165,-0.980665,0.8629852,10.32149913,7000.0,-358000.0,-360000.0,97546.20056,41.45,-1.473328948,27.9854393,-80.37966156,-0.789999962,-284.1205444,-66.70706177,18.0,0
