field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.fluid_pressure,field.temperature,field.measured.pitch,field.measured.roll,field.measured.yaw,field.alt_error,field.aspd_error,field.xtrack_error,field.wp_dist,label
0.396,-0.024,-0.049,-0.5295591,0.48052585,9.8262633,27000.0,-223000.0,-487000.0,97467.83447,38.48,-2.848635435,10.41557693,-73.83596039,0.199999988,-397.0258789,-33.58447266,10.0,0
0.396,-0.024,-0.049,-0.5295591,0.48052585,9.8262633,27000.0,-223000.0,-487000.0,97467.83447,38.48,-2.848635435,10.41557693,-73.83596039,0.199999988,-397.0258789,-33.58447266,10.0,0
0.381,-0.0293333333333333,-0.0573333333333333,-0.5295591,0.51975245,9.888372083333334,28333.33333333333,-228666.66666666663,-482666.6666666667,97469.41324666666,38.48,-2.848635435,10.41557693,-73.83596039,0.2249999939999999,-396.1066284,-32.729129795000006,11.0,0
0.366,-0.0346666666666666,-0.0656666666666666,-0.5295591,0.55897905,9.950480866666668,29666.666666666668,-234333.3333333333,-478333.3333333333,97470.99202333334,38.48,-2.848635435,10.41557693,-73.83596039,0.25,-395.1873779,-31.87378693,12.0,0
0.351,-0.04,-0.074,-0.5295591,0.59820565,10.01258965,31000.0,-240000.0,-474000.0,97472.5708,38.48,-3.023514271,19.63578224,-72.83764648,0.25,-395.1873779,-31.87378693,12.0,0
0.3475,-0.0335,-0.089,-0.5099458,0.69627215,9.5909037,33000.0,-247000.0,-465500.0,97472.76001,38.48,-3.023514271,19.63578224,-72.83764648,0.274999991,-395.1873779,-31.01521492,12.5,0
0.344,-0.027,-0.104,-0.4903325,0.79433865,9.16921775,35000.0,-254000.0,-457000.0,97472.94922,38.48,-3.023514271,19.63578224,-72.83764648,0.299999982,-395.1873779,-30.15664291,13.0,0
0.346,-0.0265,-0.132,-0.48052585,0.75511205,9.2574776,35000.0,-262500.0,-450000.0,97473.394775,38.48,-3.023514271,19.63578224,-72.83764648,0.359999985,-387.7261963,-28.45143509,15.0,0
0.348,-0.026,-0.16,-0.4707192,0.71588545,9.34573745,35000.0,-271000.0,-443000.0,97473.84033,38.48,-3.023514271,19.63578224,-72.83764648,0.359999985,-387.7261963,-28.45143509,15.0,0
0.3413333333333333,-0.044,-0.1663333333333333,-0.4576436666666666,0.7453054,9.5712904,36666.66666666666,-274333.3333333333,-441000.0,97473.95223,38.48,-3.023514271,19.63578224,-72.83764648,0.359999985,-387.7261963,-28.45143509,15.0,0
0.3346666666666666,-0.062,-0.1726666666666666,-0.4445681333333333,0.77472535,9.79684335,38333.333333333336,-277666.6666666667,-439000.0,97474.06413,38.48,-3.023514271,19.63578224,-72.83764648,0.394999981,-387.7261963,-61.10764885,16.0,0
0.328,-0.08,-0.179,-0.4314926,0.8041453,10.0223963,40000.0,-281000.0,-437000.0,97474.17603,38.48,-3.023514271,19.63578224,-72.83764648,0.429999977,-387.7261963,-93.76386261,17.0,0
-0.1934999999999999,-0.0844999999999999,-0.1455,-0.44129925,0.691368825,10.3362091,45000.0,-292000.0,-428500.0,97475.112915,38.48,-3.43002677,26.13580132,-70.34264374,0.50999999,-276.4036255,-94.23139954,18.0,0
-0.715,-0.089,-0.112,-0.4511059,0.57859235,10.6500219,50000.0,-303000.0,-420000.0,97476.0498,38.48,-3.43002677,26.13580132,-70.34264374,0.50999999,-276.4036255,-94.23139954,18.0,0
-0.9666666666666666,-0.094,-0.098,-0.4445681333333333,0.6276256,10.89518815,49666.66666666666,-299000.0,-423000.0,97477.23591666666,38.48,-3.43002677,26.13580132,-70.34264374,0.50999999,-276.4036255,-94.23139954,18.0,0
-1.2183333333333333,-0.0989999999999999,-0.084,-0.4380303666666666,0.6766588499999999,11.1403544,49333.333333333336,-295000.0,-426000.0,97478.42203333334,38.48,-3.43002677,26.13580132,-70.34264374,0.599999964,-276.4036255,-94.73233795,20.0,0
-1.47,-0.104,-0.07,-0.4314926,0.7256921,11.38552065,49000.0,-291000.0,-429000.0,97479.60815,38.48,-3.43002677,26.13580132,-70.34264374,0.599999964,-276.4036255,-94.73233795,20.0,0
-1.467666666666667,-0.0806666666666666,-0.0743333333333333,-0.4380303666666666,0.69627215,11.450898316666668,47000.0,-276333.3333333333,-441666.6666666667,97477.91747666668,38.48,-3.43002677,26.13580132,-70.34264374,0.599999964,-276.4036255,-94.73233795,20.0,0
-1.4653333333333334,-0.0573333333333333,-0.0786666666666666,-0.4445681333333333,0.6668522,11.516275983333331,45000.0,-261666.66666666663,-454333.3333333333,97476.22680333332,38.48,-3.43002677,26.13580132,-70.34264374,0.680000007,-271.1204529,-95.26667023,22.0,0
-1.463,-0.034,-0.083,-0.4511059,0.63743225,11.58165365,43000.0,-247000.0,-467000.0,97474.53613,38.48,-3.43002677,26.13580132,-70.34264374,0.680000007,-271.1204529,-95.26667023,22.0,0
-1.4125,0.0194999999999999,-0.0795,-0.485429175,0.67665885,11.18938765,37000.0,-219500.0,-486000.0,97476.68457,38.48,-3.43002677,26.13580132,-70.34264374,0.7150000034999999,-271.1204529,-95.53940201,22.5,0
-1.362,0.073,-0.076,-0.51975245,0.71588545,10.79712165,31000.0,-192000.0,-505000.0,97478.83301,38.48,-3.43002677,26.13580132,-70.34264374,0.75,-271.1204529,-95.81213379,23.0,0
-1.277,0.09,-0.0693333333333333,-0.5818612333333334,0.5622479333333333,10.264293666666669,31666.666666666668,-172333.33333333334,-513000.0,97479.42912,38.48,-3.3002043965,12.4437252305,-68.873149875,0.769999981,-267.58203125,-96.079296115,24.0,0
-1.192,0.107,-0.0626666666666666,-0.6439700166666666,0.4086104166666667,9.731465683333331,32333.33333333333,-152666.66666666666,-521000.0,97480.02523,38.48,-3.170382023,-1.248350859,-67.40365601,0.789999962,-264.0436096,-96.34645844,25.0,0
-1.107,0.124,-0.056,-0.7060788,0.2549729,9.1986377,33000.0,-133000.0,-529000.0,97480.62134,38.48,-3.170382023,-1.248350859,-67.40365601,0.814999968,-267.3230133,-96.60805893,26.0,0
-1.0416666666666667,0.1053333333333333,-0.0346666666666666,-0.7387676333333333,0.1928641166666666,8.992698050000001,33000.0,-110000.0,-536333.3333333334,97478.42407333331,38.47666666666667,-3.170382023,-1.248350859,-67.40365601,0.839999974,-270.602417,-96.86965942,27.0,0
-0.9763333333333334,0.0866666666666666,-0.0133333333333333,-0.7714564666666667,0.1307553333333333,8.7867584,33000.0,-87000.0,-543666.6666666666,97476.22680666667,38.47333333333333,-3.170382023,-1.248350859,-67.40365601,0.852499977,-270.602417,-96.992109295,27.25,0
-0.911,0.068,0.008,-0.8041453,0.06864655,8.58081875,33000.0,-64000.0,-551000.0,97474.02954,38.47,-3.170382023,-1.248350859,-67.40365601,0.86499998,-270.602417,-97.11455917,27.5,0
-0.8200000000000001,0.0455,0.024,-0.828661925,0.04903325,8.801468375,33500.0,-41500.0,-554000.0,97473.6145,38.47,-3.170382023,-1.248350859,-67.40365601,0.877499983,-270.602417,-97.237009045,27.75,0
-0.729,0.023,0.04,-0.85317855,0.02941995,9.022118,34000.0,-19000.0,-557000.0,97473.19946,38.47,-3.170382023,-1.248350859,-67.40365601,0.889999986,-270.602417,-97.35945892,28.0,0
-0.6395,0.039,0.0625,-0.887501825,0.0147099750000005,8.703401875,35500.0,-1500.0,-558500.0,97470.806885,38.47,-3.170382023,-1.248350859,-67.40365601,0.959999979,-259.201416,-97.82700348,30.0,0
-0.55,0.055,0.085,-0.9218251,1.03e-15,8.38468575,37000.0,16000.0,-560000.0,97468.41431,38.47,-4.983326912,-18.95048523,-66.89263916,0.959999979,-259.201416,-97.82700348,30.0,0
-0.5343333333333333,0.0723333333333333,0.1023333333333333,-0.9675894666666666,-0.0326888333333326,7.989150866666666,38666.66666666666,16333.333333333334,-559333.3333333334,97468.61979333332,38.47,-4.983326912,-18.95048523,-66.89263916,1.0049999655,-259.201416,-98.03850937,31.0,0
-0.5186666666666667,0.0896666666666666,0.1196666666666666,-1.0133538333333332,-0.0653776666666663,7.593615983333333,40333.333333333336,16666.666666666668,-558666.6666666666,97468.82527666666,38.47,-4.983326912,-18.95048523,-66.89263916,1.049999952,-259.201416,-98.25001526,32.0,0
-0.503,0.107,0.137,-1.0591182,-0.0980665,7.1980811,42000.0,17000.0,-558000.0,97469.03076,38.47,-4.983326912,-18.95048523,-66.89263916,1.1049999595000002,-258.29981995,-98.450389865,33.0,0
-0.482,0.0795,0.1745,-1.08853815,-0.0980665,6.9823348,39500.0,43500.0,-556500.0,97469.537355,38.47,-4.983326912,-18.95048523,-66.89263916,1.159999967,-257.3982239,-98.65076447,34.0,0
-0.461,0.052,0.212,-1.1179581,-0.0980665,6.7665885,37000.0,70000.0,-555000.0,97470.04395,38.47,-4.983326912,-18.95048523,-66.89263916,1.159999967,-257.3982239,-98.65076447,34.0,0
-0.417,0.039,0.228,-1.1506469333333331,-0.0784532,6.936570433333333,38666.66666666666,76000.0,-553000.0,97470.30436666668,38.47,-4.983326912,-18.95048523,-66.89263916,1.299999952,-257.3982239,-98.99584961,35.0,0
-0.373,0.026,0.244,-1.1833357666666666,-0.0588399,7.106552366666667,40333.333333333336,82000.0,-551000.0,97470.56478333334,38.47,-4.983326912,-18.95048523,-66.89263916,1.299999952,-257.3982239,-98.99584961,35.0,0
-0.329,0.013,0.26,-1.2160246,-0.0392266,7.2765343,42000.0,88000.0,-549000.0,97470.8252,38.47,-6.395296812,-23.284163475,-68.15130234,1.3849999305,-252.4755478,-99.157260895,36.0,0
-0.302,0.0034999999999999,0.258,-1.201314625,0.034323275,7.516797224999999,43000.0,95000.0,-547000.0,97470.666505,38.465,-7.807266712,-27.61784172,-69.40996552,1.469999909,-247.5528717,-99.31867218,37.0,0
-0.275,-0.006,0.256,-1.18660465,0.10787315,7.75706015,44000.0,102000.0,-545000.0,97470.50781,38.46,-7.807266712,-27.61784172,-69.40996552,1.469999909,-247.5528717,-99.31867218,37.0,0
-0.2676666666666666,0.0026666666666666,0.261,-1.2291001333333331,0.0457643666666666,7.828975583333333,44666.66666666666,103666.66666666669,-543666.6666666666,97470.52612,38.46333333333333,-7.807266712,-27.61784172,-69.40996552,1.689999938,-247.5528717,-99.58583832,39.0,0
