field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.fluid_pressure,field.temperature,field.measured.pitch,field.measured.roll,field.measured.yaw,field.alt_error,field.aspd_error,field.xtrack_error,field.wp_dist,label
0.401666667,-0.080666667,-0.105666667,-0.359577167,0.434761483,10.95402805,-18666.66667,-236000.0,-476333.3333,97158.34351,37.98,-6.358560562,17.74107742,-95.6631546,0.124999996,-346.0920868,-42.29777146,2.0,0
0.318333333,-0.084333333,-0.099333333,-0.385728233,0.467450317,11.20900095,-16333.33333,-242000.0,-473666.6667,97159.55811,37.98,-6.358560562,17.74107742,-95.6631546,0.179999992,-345.677948,-41.42830658,3.0,0
0.235,-0.088,-0.093,-0.4118793,0.50013915,11.46397385,-14000.0,-248000.0,-471000.0,97160.77271,37.98,-6.358560562,17.74107742,-95.6631546,0.179999992,-345.677948,-41.42830658,3.0,0
0.276333333,-0.092666667,-0.088666667,-0.438030367,0.523021333,11.64049355,-13666.66667,-250333.3333,-468333.3333,97160.45939,37.98,-6.358560562,17.74107742,-95.6631546,0.229999997,-345.677948,-211.6160698,3.5,0
0.317666667,-0.097333333,-0.084333333,-0.464181433,0.545903517,11.81701325,-13333.33333,-252666.6667,-465666.6667,97160.14608,37.98,-6.358560562,17.74107742,-95.6631546,0.280000001,-345.677948,-381.803833,4.0,0
0.359,-0.102,-0.08,-0.4903325,0.5687857,11.99353295,-13000.0,-255000.0,-463000.0,97159.83276,37.98,-6.358560562,17.74107742,-95.6631546,0.370000005,-251.0904236,-380.0540466,6.0,0
0.444,-0.106,-0.0925,-0.465815875,0.642335575,11.83172323,-13500.0,-262000.0,-451500.0,97160.44922,37.975,-6.358560562,17.74107742,-95.6631546,0.370000005,-251.0904236,-380.0540466,6.0,0
0.529,-0.11,-0.105,-0.44129925,0.71588545,11.6699135,-14000.0,-269000.0,-440000.0,97161.06567,37.97,-6.358560562,17.74107742,-95.6631546,0.370000005,-251.0904236,-380.0540466,6.0,0
0.524,-0.104666667,-0.121,-0.438030367,0.660314433,11.37244512,-13666.66667,-273666.6667,-434666.6667,97160.04028,37.97,-5.72073555,21.70539665,-93.77409744,0.409999997,-251.0904236,-379.1749115,7.0,0
0.519,-0.099333333,-0.137,-0.434761483,0.604743417,11.07497673,-13333.33333,-278333.3333,-429333.3333,97159.01489,37.97,-5.082910538,25.66971588,-91.88504028,0.449999988,-251.0904236,-378.2957764,8.0,0
0.514,-0.094,-0.153,-0.4314926,0.5491724,10.77750835,-13000.0,-283000.0,-424000.0,97157.9895,37.97,-5.082910538,25.66971588,-91.88504028,0.484999985,-249.2494507,-377.420868,9.0,0
