field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.fluid_pressure,field.temperature,field.measured.pitch,field.measured.roll,field.measured.yaw,field.alt_error,field.aspd_error,field.xtrack_error,field.wp_dist,label
-0.2745,-0.0275,0.0355,0.06864655,0.907115125,12.1994726,1500.0,-51000.0,-376000.0,98460.43701,35.45,-1.179103613,5.001526356,-92.45980072,0.029999999,-272.9745789,-40.66393662,2.0,0
-0.134,-0.032,0.011,0.1765197,0.9218251,11.93469305,-3000.0,-38000.0,-374000.0,98461.70654,35.45,0.147345319,0.399436444,-93.65891266,0.029999999,-272.9745789,-40.66393662,2.0,0
-0.082,-0.020666667,-1.73e-18,0.169981933,0.934900633,11.78105553,-4666.666667,-50000.0,-379666.6667,98461.85506,35.44666667,0.147345319,0.399436444,-93.65891266,0.0,-272.9745789,-39.3864975,4.0,0
-0.03,-0.009333333,-0.011,0.163444167,0.947976167,11.62741802,-6333.333333,-62000.0,-385333.3333,98462.00358,35.44333333,0.147345319,0.399436444,-93.65891266,0.0,-272.9745789,-39.3864975,4.0,0
0.022,0.002,-0.022,0.1569064,0.9610517,11.4737805,-8000.0,-74000.0,-391000.0,98462.1521,35.44,0.147345319,0.399436444,-93.65891266,0.0,-272.9745789,-39.3864975,4.0,0
0.059,-0.001333333,-0.038333333,0.1569064,0.918556217,11.37244512,-7000.0,-69666.66667,-393666.6667,98459.97314,35.43666667,0.147345319,0.399436444,-93.65891266,-0.035,-270.2151337,-38.71842003,4.5,0
0.096,-0.004666667,-0.054666667,0.1569064,0.876060733,11.27110973,-6000.0,-65333.33333,-396333.3333,98457.79419,35.43333333,0.147345319,0.399436444,-93.65891266,-0.07,-267.4556885,-38.05034256,5.0,0
0.133,-0.008,-0.071,0.1569064,0.83356525,11.16977435,-5000.0,-61000.0,-399000.0,98455.61523,35.43,0.147345319,0.399436444,-93.65891266,-0.140000001,-267.4556885,-36.74069595,6.0,0
0.1935,-0.0075,-0.0875,0.024516625,0.73549875,10.84125158,-2000.0,-63500.0,-403000.0,98456.07605,35.43,0.16801177,0.737803206,-93.32623291,-0.18,-266.1924439,-242.0664997,7.0,0
0.254,-0.007,-0.104,-0.10787315,0.63743225,10.5127288,1000.0,-66000.0,-407000.0,98456.53687,35.43,0.18867822,1.076169968,-92.99355316,-0.219999999,-264.9291992,-447.3923035,8.0,0
0.311333333,-0.012333333,-0.115333333,-0.071915433,0.5491724,10.79058388,333.3333333,-75000.0,-404333.3333,98456.00993,35.42666667,0.18867822,1.076169968,-92.99355316,-0.24666666,-231.5958659,-446.9527385,8.333333333,0
0.368666667,-0.017666667,-0.126666667,-0.035957717,0.46091255,11.06843897,-333.3333333,-84000.0,-401666.6667,98455.48299,35.42333333,0.18867822,1.076169968,-92.99355316,-0.273333321,-198.2625325,-446.5131734,8.666666667,0
0.426,-0.023,-0.138,0.0,0.3726527,11.34629405,-1000.0,-93000.0,-399000.0,98454.95605,35.42,0.18867822,1.076169968,-92.99355316,-0.299999982,-164.9291992,-446.0736084,9.0,0
0.5775,0.0005,-0.141,0.004903325,0.4118793,10.95402805,-500.0,-103000.0,-392500.0,98453.65906,35.42,0.18867822,1.076169968,-92.99355316,-0.299999982,-164.9291992,-446.0736084,9.0,0
0.729,0.024,-0.144,0.00980665,0.4511059,10.56176205,0.0,-113000.0,-386000.0,98452.36206,35.42,0.18867822,1.076169968,-92.99355316,-0.399999976,-166.3045959,-444.7549133,10.0,0
0.784,0.025333333,-0.156,-0.02941995,0.297468383,10.8069283,2000.0,-130666.6667,-388666.6667,98452.01416,35.42,0.18867822,1.076169968,-92.99355316,-0.399999976,-166.3045959,-444.7549133,10.0,0
0.839,0.026666667,-0.168,-0.06864655,0.143830867,11.05209455,4000.0,-148333.3333,-391333.3333,98451.66626,35.42,0.18867822,1.076169968,-92.99355316,-0.5,-166.3045959,-443.4277344,12.0,0
0.894,0.028,-0.18,-0.10787315,-0.00980665,11.2972608,6000.0,-166000.0,-394000.0,98451.31836,35.42,-0.007207662,6.487793444,-91.6760788,-0.5,-166.3045959,-443.4277344,12.0,0
0.876333333,0.038666667,-0.157,-0.101335383,-0.0980665,11.19592542,8333.333333,-182666.6667,-387666.6667,98450.33976,35.41666667,-0.203093544,11.89941692,-90.35860443,-0.5,-166.3045959,-443.4277344,12.0,0
