field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.fluid_pressure,field.temperature,field.measured.pitch,field.measured.roll,field.measured.yaw,field.alt_error,field.aspd_error,field.xtrack_error,field.wp_dist,label
0.241,-0.301,-0.302,-0.16671305,0.69627215,11.42474725,-185000.0,-369000.0,-232000.0,97147.94922,56.25,3.062958241,42.30096054,-141.265686,-0.239999987,-510.51187135,-39.210004805,5.0,0
0.242,-0.3136666666666666,-0.315,-0.2451662499999999,0.5557101666666666,11.359369583333333,-180666.66666666663,-373333.3333333333,-228666.66666666663,97145.6604,56.25,3.062958241,42.30096054,-141.265686,-0.299999982,-502.6872559,-38.14056778,6.0,0
0.243,-0.3263333333333333,-0.328,-0.32361945,0.4151481833333333,11.293991916666666,-176333.33333333334,-377666.6666666667,-225333.3333333333,97143.37158,56.25,3.062958241,42.30096054,-141.265686,-0.399999976,-483.6446838,-36.02548981,8.0,0
0.244,-0.339,-0.341,-0.40207265,0.2745862,11.22861425,-172000.0,-382000.0,-222000.0,97141.08276,56.25,3.062958241,42.30096054,-141.265686,-0.399999976,-483.6446838,-36.02548981,8.0,0
0.197,-0.3555,-0.33,-0.4854291749999999,0.201036325,11.586556975,-164000.0,-387500.0,-218000.0,97140.203855,56.245000000000005,3.062958241,42.30096054,-141.265686,-0.399999976,-483.6446838,-36.02548981,8.0,0
0.15,-0.372,-0.319,-0.5687857,0.12748645,11.9444997,-156000.0,-393000.0,-214000.0,97139.32495,56.24,3.062958241,42.30096054,-141.265686,-0.399999976,-483.6446838,-36.02548981,8.0,0
0.096,-0.3635,-0.2995,-0.671755525,0.269682875,11.77778665,-151000.0,-397500.0,-207500.0,97137.075805,56.24,3.0593860150000003,44.75304222,-136.88687894999998,-0.4499999879999999,-473.8983154,-34.964914325,9.0,0
0.042,-0.355,-0.28,-0.77472535,0.4118793,11.6110736,-146000.0,-402000.0,-201000.0,97134.82666,56.24,3.055813789,47.2051239,-132.5080719,-0.5,-464.151947,-33.90433884,10.0,0
-0.0276666666666666,-0.351,-0.2916666666666667,-0.7714564666666667,0.5557101666666666,11.83662655,-143000.0,-403333.3333333333,-199333.3333333333,97134.35669,56.236666666666665,3.055813789,47.2051239,-132.5080719,-0.5533333223333333,-461.3551432,-32.541074120000005,11.333333333333334,0
-0.0973333333333333,-0.347,-0.3033333333333333,-0.7681875833333333,0.6995410333333333,12.0621795,-140000.0,-404666.6666666667,-197666.66666666663,97133.88672,56.23333333333333,3.055813789,47.2051239,-132.5080719,-0.6066666446666666,-458.5583394,-31.1778094,12.666666666666666,0
-0.167,-0.343,-0.315,-0.7649187,0.8433719,12.28773245,-137000.0,-406000.0,-196000.0,97133.41675,56.23,3.055813789,47.2051239,-132.5080719,-0.659999967,-455.7615356,-29.81454468,14.0,0
-0.178,-0.345,-0.3355,-0.750208725,0.6864655,12.8663248,-133500.0,-407500.0,-196500.0,97134.176635,56.23,3.055813789,47.2051239,-132.5080719,-0.659999967,-455.7615356,-29.81454468,14.0,0
-0.189,-0.347,-0.356,-0.73549875,0.5295591,13.44491715,-130000.0,-409000.0,-197000.0,97134.93652,56.23,3.055813789,47.2051239,-132.5080719,-0.659999967,-455.7615356,-29.81454468,14.0,0
-0.162,-0.3416666666666667,-0.375,-0.7485742833333333,0.4020726499999999,13.546252533333334,-127000.0,-409000.0,-198000.0,97134.28751333331,56.22666666666667,3.055813789,47.2051239,-132.5080719,-0.729999959,-465.2778625,-27.78277779,16.0,0
-0.135,-0.3363333333333333,-0.3939999999999999,-0.7616498166666666,0.2745861999999999,13.647587916666666,-124000.0,-409000.0,-199000.0,97133.63850666668,56.22333333333333,2.9825100895,46.88050651499999,-127.43244935,-0.7649999555,-470.9648132,-26.78338528,17.0,0
