field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.fluid_pressure,field.temperature,field.measured.pitch,field.measured.roll,field.measured.yaw,field.alt_error,field.aspd_error,field.xtrack_error,field.wp_dist,label
2.359,-0.674,0.089,-0.392266,-0.36284605,22.2022556,-76000.0,474000.0,-243000.0,97111.6394,53.36,1.701974869,-49.58001709,68.79004669,-0.299999982,-890.0123291,-38.52055359,6.0,0
2.279,-0.65,0.149666667,-0.408610417,-0.222284067,23.17638283,-81666.66667,455333.3333,-272333.3333,97113.68611,53.36,1.701974869,-49.58001709,68.79004669,-0.5,-897.4004517,-36.01123047,8.0,0
2.199,-0.626,0.210333333,-0.424954833,-0.081722083,24.15051007,-87333.33333,436666.6667,-301666.6667,97115.73283,53.36,1.701974869,-49.58001709,68.79004669,-0.5,-897.4004517,-36.01123047,8.0,0
2.119,-0.602,0.271,-0.44129925,0.0588399,25.1246373,-93000.0,418000.0,-331000.0,97117.77954,53.36,1.701974869,-49.58001709,68.79004669,-0.5,-897.4004517,-36.01123047,8.0,0
2.0135,-0.5645,0.2915,-0.32361945,0.24516625,25.04128078,-97500.0,377000.0,-369500.0,97117.77954,53.36,1.701974869,-49.58001709,68.79004669,-0.829999983,-914.2015381,-33.53570938,11.0,0
1.908,-0.527,0.312,-0.20593965,0.4314926,24.95792425,-102000.0,336000.0,-408000.0,97117.77954,53.36,1.701974869,-49.58001709,68.79004669,-0.829999983,-914.2015381,-33.53570938,11.0,0
1.7005,-0.497,0.309,-0.299102825,0.642335575,23.52615335,-110000.0,296500.0,-433000.0,97114.1388,53.355,1.701974869,-49.58001709,68.79004669,-1.319999933,-928.7851563,56.57513809,13.0,0
1.493,-0.467,0.306,-0.392266,0.85317855,22.09438245,-118000.0,257000.0,-458000.0,97110.49805,53.35,1.701974869,-49.58001709,68.79004669,-1.319999933,-928.7851563,56.57513809,13.0,0
0.950666667,-0.441666667,0.296666667,-0.5687857,1.016622717,20.95027328,-122333.3333,232000.0,-466666.6667,97104.40877,53.35,15.30467606,2.007789612,56.28668976,-1.319999933,-928.7851563,56.57513809,13.0,0
0.408333333,-0.416333333,0.287333333,-0.7453054,1.180066883,19.80616412,-126666.6667,207000.0,-475333.3333,97098.3195,53.35,15.30467606,2.007789612,56.28668976,-1.9799999,-814.7684326,56.07345581,15.0,0
-0.134,-0.391,0.278,-0.9218251,1.34351105,18.66205495,-131000.0,182000.0,-484000.0,97092.23022,53.35,15.30467606,2.007789612,56.28668976,-1.9799999,-814.7684326,56.07345581,15.0,0
-0.4525,-0.321,0.1855,-1.073828175,1.26505785,17.6911966,-136000.0,165000.0,-488000.0,97088.82141,53.35,15.30467606,2.007789612,56.28668976,-2.769999981,-792.2780762,55.60641479,17.0,0
-0.771,-0.251,0.093,-1.22583125,1.18660465,16.72033825,-141000.0,148000.0,-492000.0,97085.4126,53.35,15.30467606,2.007789612,56.28668976,-2.769999981,-792.2780762,55.60641479,17.0,0
-0.766,-0.213,0.0255,-1.230734575,1.10815145,16.29620064,-146000.0,163250.0,-485500.0,97079.32434,53.35,15.30467606,2.007789612,56.28668976,-3.639999866,-771.0045166,55.17401886,20.0,0
