flight,orig_index,time,GPS_TOW,navalt,alt,ax,ay,az,ias,h,navvn,navve,navvd,vn,ve,vd,p,q,r,label
104,6701,134.0200043,580484,260.4184131,260.229248,2.936736584,0.6464964151,-8.071744919,-0.3586889207,5.220543861,-0.8500090837,-0.7094760537,0.7388378382,-0.929196775,-0.3961479664,0.7854842544,0.01886524074,0.06096035615,0.05753212795,0
104,6702,134.0399933,580484,260.4036363,260.229248,3.100139856,0.2543289661,-7.712257862,-0.3586889207,8.992571831,-0.8316871524,-0.7309710383,0.7651753426,-0.929196775,-0.3961479664,0.7854842544,0.02148323506,0.09586694092,0.0645134449,0
104,6703,134.0599976,580484,260.3883328,260.229248,3.165501118,0.1889677346,-8.137105942,-1.342088342,8.992571831,-0.8210155964,-0.7573745847,0.7975932956,-0.929196775,-0.3961479664,0.7854842544,0.04417251423,0.1351368427,0.08283939958,0
104,6704,134.0800018,580484,260.372381,260.229248,3.230862141,0.05824525654,-8.267827988,-1.014526486,12.62081528,-0.8113156557,-0.7829115987,0.8213589191,-0.929196775,-0.3961479664,0.7854842544,0.04155452177,0.09673960507,0.08807539195,0
104,6705,134.1000061,580484,260.3559538,260.229248,3.263542891,0.05824525654,-8.169786453,-0.8786039948,13.49178219,-0.8038843274,-0.8087846637,0.8421542048,-0.929196775,-0.3961479664,0.7854842544,0.07209778577,0.06706900895,0.1020380259,0
104,6706,134.1199951,580484,260.3391107,260.229248,3.557668447,-0.137838468,-8.235147476,-2.152122498,14.36282349,-0.7962139845,-0.8353816867,0.8646712303,-0.929196775,-0.3961479664,0.7854842544,0.04417251423,0.03303508833,0.1151279956,0
104,6707,134.1399994,580484,260.3218173,260.229248,4.1459198,0.05824525654,-8.659996033,-0.3586889207,3.335044384,-0.7917276025,-0.8673588634,0.8844439983,-0.929196775,-0.3961479664,0.7854842544,0.02584655769,0.01819978841,0.1439259201,0
104,6708,134.1600037,580484,260.3041284,260.229248,4.603448391,0.02556463704,-8.95412159,-2.152122498,14.36282349,-0.782135725,-0.908493638,0.8933982253,-0.929196775,-0.3961479664,0.7854842544,-0.01953200251,-0.009725479409,0.1561432332,0
104,6709,134.1799927,580484,260.2862604,260.229248,4.897573948,0.1889677346,-8.986802101,-3.188061476,14.36282349,-0.7721655369,-0.9571294188,0.8945304751,-0.929196775,-0.3961479664,0.7854842544,-0.06054724008,-0.01321613789,0.1718511879,0
104,6710,134.1999969,580484,260.2683698,260.229248,5.355102539,0.02556463704,-9.280927658,-2.891816139,10.73396969,-0.7583056092,-1.011155009,0.893825829,-0.929196775,-0.3961479664,0.7854842544,-0.1041804701,-0.01757946052,0.1709785312,0
104,6711,134.2200012,580484,260.2504933,260.229248,5.779950619,0.02556463704,-9.509692192,-1.342088342,-0.1449776143,-0.7468271255,-1.072977662,0.8852362037,-0.929196775,-0.3961479664,0.7854842544,-0.1486863643,0.001619160757,0.1770871878,0
104,6712,134.2400055,580484,260.2327886,260.229248,5.87799263,0.05824525654,-10.19598484,-3.188061476,10.73396969,-0.7346585393,-1.142088175,0.8702989221,-0.929196775,-0.3961479664,0.7854842544,-0.1923196018,0.06881433725,0.1831958294,0
104,6713,134.2599945,580484,260.2153826,260.229248,5.81263113,0.1889677346,-10.35938835,-2.536295652,18.13817787,-0.7216627002,-1.20994556,0.8415646553,-0.929196775,-0.3961479664,0.7854842544,-0.2499154657,0.110702239,0.1962857991,0
104,6714,134.2799988,580484,260.1985513,260.229248,5.747270107,0.3196902275,-10.26134586,-1.682394862,14.36282349,-0.7065118551,-1.275299191,0.809908092,-0.929196775,-0.3961479664,0.7854842544,-0.3005300164,0.1080842465,0.2076304406,0
104,6715,134.3000031,580484,260.1823532,260.229248,5.779950619,0.3850514591,-10.09794331,-2.51080513,5.220543861,-0.6894908547,-1.339143276,0.7803438306,-0.929196775,-0.3961479664,0.7854842544,-0.3581258655,0.09324894845,0.2198477536,0
104,6716,134.3200073,580484,260.1667463,260.229248,5.649228096,0.05824525654,-9.673094749,-3.188061476,7.106386185,-0.6718961596,-1.403803468,0.7536455989,-0.929196775,-0.3961479664,0.7854842544,-0.3904144764,0.07143232971,0.2477730215,0
104,6717,134.3399963,580484,260.1516734,260.229248,5.224380016,-0.1051578447,-9.378969193,-3.846448183,-4.928102493,-0.6619468331,-1.468144178,0.7355528474,-0.929196775,-0.3961479664,0.7854842544,-0.4558643103,0.01732712425,0.2538816631,0
104,6718,134.3600006,580484,260.1369623,260.229248,5.093657494,-0.3992834091,-9.019482613,-1.342088342,7.976890564,-0.6569637656,-1.525743484,0.7250344157,-0.929196775,-0.3961479664,0.7854842544,-0.4419016838,-0.007107485551,0.2538816631,0
104,6719,134.3800049,580484,260.1224616,260.229248,4.832212448,-0.9875345826,-8.594634056,-2.352066278,8.992571831,-0.6590895057,-1.583183527,0.7221198678,-0.929196775,-0.3961479664,0.7854842544,-0.4349203706,-0.0009988331003,0.2538816631,0
