time,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.fluid_pressure,field.temperature,field.alt_error,field.aspd_error,field.xtrack_error,field.wp_dist,field.measured.pitch,field.measured.roll,field.measured.yaw,fault_state,field.airspeed
55:44.7,1.113,0.023,-0.03,-0.40207265,0.12748645,8.46313895,-648000,57000,-626000,97497.88818,41.89,-0.299999982,-681.6484375,-40.07807541,4,0.79783088,-11.96167564,-70.15618896,0,0
55:44.8,1.15,0.0075,-0.039,-0.612915625,0.053936575,8.9044382,-648000,57000,-626000,97497.88818,41.89,-0.299999982,-681.6484375,-40.07807541,4,0.79783088,-11.96167564,-70.15618896,0,0
55:44.8,1.187,-0.008,-0.048,-0.8237586,-0.0196133,9.34573745,-648000,57000,-626000,97497.88818,41.89,-0.429999977,-684.8121338,-37.93643188,6,0.18381533,2.863091469,-71.01429749,0,0
55:44.8,1.145333333,-0.005,-0.037,-0.9218251,-0.071915433,9.911254267,-551000,6000,-599000,97493.88021,41.88666667,-0.429999977,-684.8121338,-37.93643188,6,0.18381533,2.863091469,-71.01429749,0,0
55:44.9,1.103666667,-0.002,-0.026,-1.0198916,-0.124217567,10.47677108,-454000,-45000,-572000,97489.87223,41.88333333,-0.429999977,-684.8121338,-37.93643188,6,0.18381533,2.863091469,-71.01429749,0,0
55:44.9,1.062,0.001,-0.015,-1.1179581,-0.1765197,11.0422879,-357000,-96000,-545000,97485.86426,41.88,-0.499999985,-684.8121338,-120.2367706,7,0.18381533,2.863091469,-71.01429749,0,0
55:45.0,1.0175,0.011,-0.003,-1.20621795,-0.053936575,10.6696352,-357000,-96000,-545000,97482.83081,41.875,-0.569999993,-684.8121338,-202.5371094,8,0.18381533,2.863091469,-71.01429749,0,0
55:45.0,0.973,0.021,0.009,-1.2944778,0.06864655,10.2969825,-357000,-96000,-545000,97479.79736,41.87,-0.569999993,-684.8121338,-202.5371094,8,0.18381533,2.863091469,-71.01429749,0,0
55:45.0,0.914,0.041666667,0.012666667,-1.320628867,0.163444167,9.721659033,-357333.3333,-111333.3333,-536000,97479.79736,41.87,-0.699999988,-571.9165649,-200.5252533,10,0.18381533,2.863091469,-71.01429749,0,0
55:45.1,0.855,0.062333333,0.016333333,-1.346779933,0.258241783,9.146335567,-357666.6667,-126666.6667,-527000,97479.79736,41.87,-0.699999988,-571.9165649,-200.5252533,10,0.18381533,2.863091469,-71.01429749,0,0
55:45.1,0.796,0.083,0.02,-1.372931,0.3530394,8.5710121,-358000,-142000,-518000,97479.79736,41.87,-0.829999983,-571.9165649,-198.496521,12,0.18381533,2.863091469,-71.01429749,0,0
55:45.2,0.690666667,0.086333333,-0.006666667,-1.366393233,0.415148183,8.338921383,-330666.6667,-166666.6667,-496666.6667,97478.74145,41.86666667,-0.829999983,-571.9165649,-198.496521,12,0.18381533,2.863091469,-71.01429749,0,0
55:45.2,0.585333333,0.089666667,-0.033333333,-1.359855467,0.477256967,8.106830667,-303333.3333,-191333.3333,-475333.3333,97477.68555,41.86333333,-0.829999983,-571.9165649,-198.496521,12,0.18381533,2.863091469,-71.01429749,0,0
55:45.2,0.48,0.093,-0.06,-1.3533177,0.53936575,7.87473995,-276000,-216000,-454000,97476.62964,41.86,-0.889999986,-557.5217285,-197.520134,13,0.18381533,2.863091469,-71.01429749,0,0
55:45.3,0.3625,0.085,-0.0795,-1.368027675,0.583495675,7.8257067,-276000,-216000,-454000,97476.62964,41.86,-0.949999988,-543.1268921,-196.5437469,14,0.18381533,2.863091469,-71.01429749,0,0
55:45.3,0.245,0.077,-0.099,-1.38273765,0.6276256,7.77667345,-276000,-216000,-454000,97476.62964,41.86,-1.069999933,-543.1268921,-194.5826111,16,-1.267190814,27.10757828,-71.1456604,0,0
55:45.4,0.248,0.103,-0.184,-1.4513842,0.5295591,5.7663102,-236000,-240000,-435000,97469.68384,41.85,-1.069999933,-543.1268921,-194.5826111,16,-1.267190814,27.10757828,-71.1456604,0,0
55:45.4,0.2125,0.1115,-0.202,-1.48080415,0.436395925,5.271074375,-210500,-249500,-427500,97469.00025,41.85,-1.139999986,-507.4989319,-192.655304,18,-1.267190814,27.10757828,-71.1456604,0,0
55:45.5,0.177,0.12,-0.22,-1.5102241,0.34323275,4.77583855,-185000,-259000,-420000,97468.31665,41.85,-1.139999986,-507.4989319,-192.655304,18,-1.267190814,27.10757828,-71.1456604,0,0
55:45.5,0.174333333,0.113666667,-0.228333333,-1.552719583,0.388997117,4.563361133,-147000,-268333.3333,-409000,97468.03385,41.84666667,-1.179999948,-507.4989319,-190.7533417,20,-1.267190814,27.10757828,-71.1456604,0,0
55:45.6,0.171666667,0.107333333,-0.236666667,-1.595215067,0.434761483,4.350883717,-109000,-277666.6667,-398000,97467.75106,41.84333333,-1.179999948,-507.4989319,-190.7533417,20,-1.267190814,27.10757828,-71.1456604,0,0
55:45.6,0.169,0.101,-0.245,-1.63771055,0.48052585,4.1384063,-71000,-287000,-387000,97467.46826,41.84,-1.179999948,-507.4989319,-190.7533417,20,-1.267190814,27.10757828,-71.1456604,0,0
55:45.6,0.1995,0.113,-0.272,-1.81423025,0.446202575,4.751321925,-71000,-287000,-387000,97467.46826,41.84,-1.159999967,-479.901123,-188.8936615,22,-1.267190814,27.10757828,-71.1456604,0,0
55:45.7,0.23,0.125,-0.299,-1.99074995,0.4118793,5.36423755,-71000,-287000,-387000,97467.46826,41.84,-1.159999967,-479.901123,-188.8936615,22,-1.267190814,27.10757828,-71.1456604,0,0
55:45.7,0.228,0.125,-0.298333333,-1.987481067,0.444568133,5.573446083,-57000,-290000,-384333.3333,97468.03182,41.83666667,-1.129999996,-479.901123,-187.9638138,23,-3.454263151,29.40652657,-69.81742478,0,0
55:45.8,0.226,0.125,-0.297666667,-1.984212183,0.477256967,5.782654617,-43000,-293000,-381666.6667,97468.59538,41.83333333,-1.100000024,-479.901123,-187.0339661,24,-5.641335487,31.70547485,-68.48918915,0,0
55:45.8,0.224,0.125,-0.297,-1.9809433,0.5099458,5.99186315,-29000,-296000,-379000,97469.15894,41.83,-1.034999997,-466.6925354,-186.1125412,25,-5.641335487,31.70547485,-68.48918915,0,0
55:45.8,0.224,0.12,-0.2835,-1.95152335,0.4314926,5.8251501,-8000,-300000,-369500,97469.11622,41.83,-0.969999969,-453.4839478,-185.1911163,26,-5.641335487,31.70547485,-68.48918915,0,0
55:45.9,0.224,0.115,-0.27,-1.9221034,0.3530394,5.65843705,13000,-304000,-360000,97469.07349,41.83,-0.884999961,-453.4839478,-184.2993164,27,-5.641335487,31.70547485,-68.48918915,0,0
55:45.9,0.155666667,0.106333333,-0.262,-1.9417167,0.4511059,5.7270836,23333.33333,-306666.6667,-357333.3333,97470.0114,41.82666667,-0.799999952,-453.4839478,-183.4075165,28,-5.641335487,31.70547485,-68.48918915,0,0
55:46.0,0.087333333,0.097666667,-0.254,-1.96133,0.5491724,5.79573015,33666.66667,-309333.3333,-354666.6667,97470.9493,41.82333333,-0.799999952,-453.4839478,-183.4075165,28,-5.641335487,31.70547485,-68.48918915,0,0
