time,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.fluid_pressure,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.temperature,field.alt_error,field.aspd_error,field.xtrack_error,field.wp_dist,field.measured,field.measured.1,field.measured.2,fault_state,field.airspeed
2018-09-11 19:19:06.560,-0.011,-0.128,-0.145,0.28439285,0.61781895,11.13054775,97442.00439,-1547000.0,43000.0,-1754000.0,40.56,-0.059999999,-572.7722168,-42.72521973,1.0,-1.515527487,29.03664017,-29.3322773,0.0,0.0
2018-09-11 19:19:06.600,0.12,-0.1075,-0.153,0.191229675,0.588399,11.05209455,97439.801025,-1281000.0,25500.0,-1628000.0,40.555,-0.1150000005,-622.7722168,-41.600530625000005,2.0,-1.390094787,29.1649050725,-27.9696950925,0.0,0.0
2018-09-11 19:19:06.640,0.251,-0.087,-0.161,0.0980665,0.55897905,10.97364135,97437.59766,-1015000.0,8000.0,-1502000.0,40.55,-0.170000002,-672.7722168,-40.47584152,3.0,-1.264662087,29.293169975,-26.607112885,0.0,0.0
2018-09-11 19:19:06.680,0.2826666666666667,-0.0893333333333333,-0.1636666666666666,-0.0621087833333333,0.67665885,10.882112616666666,97437.25382666668,-935000.0,8000.0,-1482666.6666666667,40.55,-0.2199999915,-664.818573,-39.361585615,4.0,-1.139229387,29.4214348775,-25.2445306775,0.0,0.0
2018-09-11 19:19:06.720,0.3143333333333333,-0.0916666666666666,-0.1663333333333333,-0.2222840666666666,0.79433865,10.790583883333332,97436.90999333332,-855000.0,8000.0,-1463333.3333333333,40.55,-0.269999981,-656.8649292,-38.24732971,5.0,-1.013796687,29.54969978,-23.88194847,0.0,0.0
2018-09-11 19:19:06.760,0.346,-0.094,-0.169,-0.38245935,0.91201845,10.69905515,97436.56616,-775000.0,8000.0,-1444000.0,40.55,-0.269999981,-656.8649292,-38.24732971,5.0,-1.013796687,29.54969978,-23.88194847,0.0,0.0
2018-09-11 19:19:06.800,0.3169999999999999,-0.115,-0.186,-0.63743225,0.887501825,10.93441475,97431.558225,-725000.0,-38000.0,-1219500.0,40.55,-0.379999995,-656.8649292,55.71445465,8.0,-1.013796687,29.54969978,-23.88194847,0.0,0.0
2018-09-11 19:19:06.840,0.288,-0.136,-0.203,-0.89240515,0.8629852,11.16977435,97426.55029,-675000.0,-84000.0,-995000.0,40.55,-0.379999995,-656.8649292,55.71445465,8.0,-1.013796687,29.54969978,-23.88194847,0.0,0.0
2018-09-11 19:19:06.880,0.2788,-0.1252,-0.2112,-0.99243298,0.81983594,11.24822755,97426.246336,-620800.0,-96800.0,-957200.0,40.548,-0.48999998,-555.6304932,56.51749802,10.0,-1.013796687,29.54969978,-23.88194847,0.0,0.0
2018-09-11 19:19:06.920,0.2696,-0.1144,-0.2194,-1.09246081,0.77668668,11.32668075,97425.942382,-566600.0,-109600.0,-919400.0,40.546,-0.5266666413333333,-555.6304932,56.757003786666665,10.666666666666666,-1.013796687,29.54969978,-23.88194847,0.0,0.0
