time,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.fluid_pressure,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.temperature,fault_state,field.alt_error,field.aspd_error,field.xtrack_error,field.wp_dist,field.measured.pitch,field.measured.roll,field.measured.yaw,field.airspeed
34:19.0,1.129,0.034,-0.235666667,-0.02941995,-0.26477955,6.733899667,97577.28475,-65666.66667,-121333.3333,-517000,41.48,0,-0.289999992,-430.6856079,-40.08762169,3,-0.561371148,-1.5184623,-84.76848602,0
34:19.0,1.214,0.031,-0.219333333,-0.196133,-0.26477955,6.652177583,97575.42521,-50333.33333,-130666.6667,-519000,41.48,0,-0.349999994,-430.6856079,-39.07300568,4,-0.561371148,-1.5184623,-84.76848602,0
34:19.0,1.299,0.028,-0.203,-0.36284605,-0.26477955,6.5704555,97573.56567,-35000,-140000,-521000,41.48,0,-0.349999994,-430.6856079,-39.07300568,4,-0.561371148,-1.5184623,-84.76848602,0
34:19.1,1.196666667,0.019,-0.164333333,-0.506676917,-0.359577167,7.528238317,97569.81608,-25666.66667,-156000,-515333.3333,41.47666667,0,-0.349999994,-430.6856079,-39.07300568,4,-0.561371148,-1.5184623,-84.76848602,0
34:19.1,1.094333333,0.01,-0.125666667,-0.650507783,-0.454374783,8.486021133,97566.06648,-16333.33333,-172000,-509666.6667,41.47333333,0,-0.429999977,-460.1051331,-37.04396439,6,-2.181938171,14.22093105,-80.40459442,0
34:19.2,0.992,0.001,-0.087,-0.79433865,-0.5491724,9.44380395,97562.31689,-7000,-188000,-504000,41.47,0,-0.429999977,-460.1051331,-37.04396439,6,-2.181938171,14.22093105,-80.40459442,0
34:19.2,0.897,-0.0255,-0.0225,-0.887501825,-0.485429175,10.10575283,97559.42688,-500,-212500,-490000,41.47,0,-0.454999983,-460.1051331,-36.02970505,7,-2.181938171,14.22093105,-80.40459442,0
34:19.2,0.802,-0.052,0.042,-0.980665,-0.42168595,10.7677017,97556.53687,6000,-237000,-476000,41.47,0,-0.479999989,-460.1051331,-35.01544571,8,-2.181938171,14.22093105,-80.40459442,0
34:19.3,0.761,-0.0765,0.067,-1.02969825,-0.3138128,10.48330885,97552.54822,10000,-257000,-460500,41.465,0,-0.519999981,-440.2715759,-74.28040314,10,-2.181938171,14.22093105,-80.40459442,0
34:19.3,0.72,-0.101,0.092,-1.0787315,-0.20593965,10.198916,97548.55957,14000,-277000,-445000,41.46,0,-0.519999981,-440.2715759,-74.28040314,10,-2.181938171,14.22093105,-80.40459442,0
34:19.4,0.69,-0.096666667,0.108,-1.052580433,-0.055571017,10.66636632,97547.62166,14000,-286000,-437000,41.46,0,-0.519999981,-440.2715759,-74.28040314,10,-2.181938171,14.22093105,-80.40459442,0
34:19.4,0.66,-0.092333333,0.124,-1.026429367,0.094797617,11.13381663,97546.68376,14000,-295000,-429000,41.46,0,-0.569999993,-340.2715759,-72.38535309,12,-1.473328948,27.9854393,-80.37966156,0
34:19.4,0.63,-0.088,0.14,-1.0002783,0.24516625,11.60126695,97545.74585,14000,-304000,-421000,41.46,0,-0.569999993,-340.2715759,-72.38535309,12,-1.473328948,27.9854393,-80.37966156,0
34:19.5,0.653,-0.083666667,0.120666667,-0.9610517,0.375921583,11.64703132,97545.51799,11333.33333,-311333.3333,-413333.3333,41.46,0,-0.629999995,-306.5542297,-70.4901123,14,-1.473328948,27.9854393,-80.37966156,0
34:19.5,0.676,-0.079333333,0.101333333,-0.9218251,0.506676917,11.69279568,97545.29012,8666.666667,-318666.6667,-405666.6667,41.46,0,-0.653333326,-306.5542297,-69.86489614,14.66666667,-1.473328948,27.9854393,-80.37966156,0
34:19.6,0.699,-0.075,0.082,-0.8825985,0.63743225,11.73856005,97545.06226,6000,-326000,-398000,41.46,0,-0.676666657,-306.5542297,-69.23967997,15.33333333,-1.473328948,27.9854393,-80.37966156,0
34:19.6,0.5485,-0.021,0.067,-0.926728425,0.67665885,11.60617028,97546.57593,6500,-338000,-383500,41.455,0,-0.699999988,-306.5542297,-68.61446381,16,-1.473328948,27.9854393,-80.37966156,0
34:19.6,0.398,0.033,0.052,-0.97085835,0.71588545,11.4737805,97548.0896,7000,-350000,-369000,41.45,0,-0.699999988,-306.5542297,-68.61446381,16,-1.473328948,27.9854393,-80.37966156,0
34:19.7,0.306,0.04,0.0165,-0.980665,0.8629852,10.32149913,97546.20056,7000,-358000,-360000,41.45,0,-0.789999962,-284.1205444,-66.70706177,18,-1.473328948,27.9854393,-80.37966156,0
34:19.7,0.214,0.047,-0.019,-0.99047165,1.01008495,9.16921775,97544.31152,7000,-366000,-351000,41.45,0,-0.789999962,-284.1205444,-66.70706177,18,-0.179027364,38.57021332,-81.61852264,0
34:19.8,0.170333333,0.053666667,-0.052666667,-0.99047165,1.055849317,8.858673833,97543.86393,8333.333333,-368666.6667,-346666.6667,41.45,0,-0.829999984,-284.1205444,-65.77104568,19,-0.179027364,38.57021332,-81.61852264,0
34:19.8,0.126666667,0.060333333,-0.086333333,-0.99047165,1.101613683,8.548129917,97543.41634,9666.666667,-371333.3333,-342333.3333,41.45,0,-0.870000005,-284.1205444,-64.8350296,20,-0.179027364,38.57021332,-81.61852264,0
34:19.8,0.083,0.067,-0.12,-0.99047165,1.14737805,8.237586,97542.96875,11000,-374000,-338000,41.45,0,-0.870000005,-284.1205444,-64.8350296,20,-0.179027364,38.57021332,-81.61852264,0
34:19.9,0.1505,0.0665,-0.1815,-0.985568325,1.176798,7.026464725,97541.81824,14000,-377000,-332000,41.445,0,-0.900000006,-272.1797791,-63.88907051,21,-0.179027364,38.57021332,-81.61852264,0
34:19.9,0.218,0.066,-0.243,-0.980665,1.20621795,5.81534345,97540.66772,17000,-380000,-326000,41.44,0,-0.930000007,-260.2390137,-62.94311142,22,-0.179027364,38.57021332,-81.61852264,0
34:20.0,0.148666667,0.043,-0.287666667,-1.013353833,1.180066883,5.906872183,97540.82234,21333.33333,-382000,-324333.3333,41.44,0,-0.939999998,-260.2390137,-62.00896645,23,-0.179027364,38.57021332,-81.61852264,0
34:20.0,0.079333333,0.02,-0.332333333,-1.046042667,1.153915817,5.998400917,97540.97697,25666.66667,-384000,-322666.6667,41.44,0,-0.949999988,-260.2390137,-61.07482147,24,-0.179027364,38.57021332,-81.61852264,0
34:20.0,0.01,-0.003,-0.377,-1.0787315,1.12776475,6.08992965,97541.13159,30000,-386000,-321000,41.44,0,-0.949999988,-260.2390137,-61.07482147,24,-0.179027364,38.57021332,-81.61852264,0
34:20.1,-0.0045,0.07,-0.411,-1.14737805,1.176798,5.761406875,97539.61792,38500,-388500,-319000,41.44,0,-0.939999998,-240.4220581,-59.19459915,26,-0.179027364,38.57021332,-81.61852264,0
34:20.1,-0.019,0.143,-0.445,-1.2160246,1.22583125,5.4328841,97538.10425,47000,-391000,-317000,41.44,0,-0.939999998,-240.4220581,-59.19459915,26,-0.179027364,38.57021332,-81.61852264,0
34:20.2,0.024333333,0.118666667,-0.467,-1.278133383,1.091807033,5.03081145,97538.7207,54666.66667,-389666.6667,-315333.3333,41.43666667,0,-0.905000002,-240.4220581,-58.27027893,27,-2.77029004,40.2151413,-79.7628746,0
34:20.2,0.067666667,0.094333333,-0.489,-1.340242167,0.957782817,4.6287388,97539.33716,62333.33333,-388333.3333,-313666.6667,41.43333333,0,-0.870000005,-240.4220581,-57.34595871,28,-5.361552715,41.86006927,-77.90722656,0
34:20.2,0.111,0.07,-0.511,-1.40235095,0.8237586,4.22666615,97539.95361,70000,-387000,-312000,41.43,0,-0.810000003,-234.0187989,-56.41765976,28.5,-5.361552715,41.86006927,-77.90722656,0
34:20.3,0.093,0.004,-0.5185,-1.38273765,0.7060788,4.903325,97540.094,82500,-384500,-314000,41.43,0,-0.75,-227.6155396,-55.48936081,29,-5.361552715,41.86006927,-77.90722656,0
34:20.3,0.075,-0.062,-0.526,-1.36312435,0.588399,5.57998385,97540.23438,95000,-382000,-316000,41.43,0,-0.75,-227.6155396,-55.48936081,29,-5.361552715,41.86006927,-77.90722656,0
34:20.4,0.035333333,-0.073,-0.511333333,-1.379468767,0.5687857,6.390666917,97540.64738,103000,-381666.6667,-312333.3333,41.42666667,0,-0.75,-227.6155396,-55.48936081,29,-5.361552715,41.86006927,-77.90722656,0
34:20.4,-0.004333333,-0.084,-0.496666667,-1.395813183,0.5491724,7.201349983,97541.06039,111000,-381333.3333,-308666.6667,41.42333333,0,-0.560000002,-227.6155396,-53.65638733,31,-5.361552715,41.86006927,-77.90722656,0
34:20.4,-0.044,-0.095,-0.482,-1.4121576,0.5295591,8.01203305,97541.47339,119000,-381000,-305000,41.42,0,-0.560000002,-227.6155396,-53.65638733,31,-5.361552715,41.86006927,-77.90722656,0
34:20.5,0.018333333,-0.117333333,-0.451666667,-1.418695367,0.424954833,8.42391235,97542.49471,124333.3333,-378666.6667,-305666.6667,41.42,0,-0.560000002,-227.6155396,-53.65638733,31,-5.361552715,41.86006927,-77.90722656,0
34:20.5,0.080666667,-0.139666667,-0.421333333,-1.425233133,0.320350567,8.83579165,97543.51603,129666.6667,-376333.3333,-306333.3333,41.42,0,-0.340000004,-206.7256927,-51.82335663,33,-5.361552715,41.86006927,-77.90722656,0
34:20.6,0.143,-0.162,-0.391,-1.4317709,0.2157463,9.24767095,97544.53735,135000,-374000,-307000,41.42,0,-0.340000004,-206.7256927,-51.82335663,33,-12.78863144,42.0561676,-69.14147949,0
34:20.6,0.1605,-0.1685,-0.3525,-1.36312435,0.1569064,10.395049,97544.98291,142500,-371000,-305500,41.42,0,-0.07,-206.7256927,-50.0059967,35,-12.78863144,42.0561676,-69.14147949,0
34:20.6,0.178,-0.175,-0.314,-1.2944778,0.0980665,11.54242705,97545.42847,150000,-368000,-304000,41.42,0,-0.07,-206.7256927,-50.0059967,35,-12.78863144,42.0561676,-69.14147949,0
34:20.7,0.156,-0.1775,-0.278,-1.250347875,0.18632635,12.0817928,97548.87696,155500,-366500,-302000,41.415,0,0.069999997,-203.0899048,-49.09128952,36,-12.78863144,42.0561676,-69.14147949,0
34:20.7,0.134,-0.18,-0.242,-1.20621795,0.2745862,12.62115855,97552.32544,161000,-365000,-300000,41.41,0,0.209999993,-199.4541168,-48.17658234,37,-12.78863144,42.0561676,-69.14147949,0
34:20.8,0.108666667,-0.199333333,-0.218333333,-1.202949067,0.346501633,12.42829443,97554.33553,162333.3333,-365000,-299333.3333,41.41,0,0.209999993,-199.4541168,-48.17658234,37,-14.16527081,43.36195374,-63.88734055,0
34:20.8,0.083333333,-0.218666667,-0.194666667,-1.199680183,0.418417067,12.23543032,97556.34562,163666.6667,-365000,-298666.6667,41.41,0,0.359999991,-199.4541168,-47.26573372,37.5,-14.16527081,43.36195374,-63.88734055,0
34:20.8,0.058,-0.238,-0.171,-1.1964113,0.4903325,12.0425662,97558.35571,165000,-365000,-298000,41.41,0,0.50999999,-199.4541168,-46.3548851,38,-14.16527081,43.36195374,-63.88734055,0
34:20.9,0.0685,-0.246,-0.178,-1.2160246,0.4707192,12.51818873,97561.15418,166000,-364500,-297000,41.41,0,0.654999971,-204.4878922,-45.44590569,39,-14.16527081,43.36195374,-63.88734055,0
34:20.9,0.079,-0.254,-0.185,-1.2356379,0.4511059,12.99381125,97563.95264,167000,-364000,-296000,41.41,0,0.799999952,-209.5216675,-44.53692627,40,-14.16527081,43.36195374,-63.88734055,0
34:21.0,0.111,-0.266333333,-0.183666667,-1.193142417,0.545903517,13.47760598,97565.37679,167000,-362666.6667,-297000,41.40666667,0,0.949999988,-209.5216675,-43.62978745,41,-14.16527081,43.36195374,-63.88734055,0
34:21.0,0.143,-0.278666667,-0.182333333,-1.150646933,0.640701133,13.96140072,97566.80095,167000,-361333.3333,-298000,41.40333333,0,1.100000024,-209.5216675,-42.72264862,42,-14.16527081,43.36195374,-63.88734055,0
34:21.0,0.175,-0.291,-0.181,-1.10815145,0.73549875,14.44519545,97568.2251,167000,-360000,-299000,41.4,0,1.100000024,-209.5216675,-42.72264862,42,-14.16527081,43.36195374,-63.88734055,0
34:21.1,0.1145,-0.286,-0.189,-1.086086488,0.77472535,14.17060925,97570.67261,167500,-360250,-297500,41.4,0,1.389999986,-212.0138245,-40.91608047,44,-14.16527081,43.36195374,-63.88734055,0
34:21.1,0.054,-0.281,-0.197,-1.064021525,0.81395195,13.89602305,97573.12012,168000,-360500,-296000,41.4,0,1.48666664,-212.0138245,-40.31907653,44.33333333,-14.16527081,43.36195374,-63.88734055,0
34:21.2,-0.0065,-0.276,-0.205,-1.041956563,0.85317855,13.62143685,97575.56763,168500,-360750,-294500,41.4,0,1.583333294,-212.0138245,-39.7220726,44.66666667,-14.16527081,43.36195374,-63.88734055,0
34:21.2,-0.067,-0.271,-0.213,-1.0198916,0.89240515,13.34685065,97578.01514,169000,-361000,-293000,41.4,0,1.679999948,-212.0138245,-39.12506866,45,-14.16527081,43.36195374,-63.88734055,0
