time,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.fluid_pressure,field.temperature,field.alt_error,field.aspd_error,field.xtrack_error,field.wp_dist,field.measured.pitch,field.measured.roll,field.measured.yaw,fault_state,field.airspeed
07:47.2,-0.04,0.041333333,0.064333333,-0.022882183,0.4118793,7.802824517,-188333.3333,96666.66667,-855666.6667,98177.34985,32.08,-0.140000001,-0.766468048,-40.37721252,3,-0.246220425,1.027297974,-87.28736877,0,0
07:47.3,-0.01,0.024666667,0.065666667,-0.006537767,0.4314926,8.280081483,-197666.6667,103333.3333,-867333.3333,98176.15357,32.08,-0.144999996,-0.766468048,-39.75527954,3.5,-0.464429178,1.116122783,-87.7624855,0,0
07:47.3,0.02,0.008,0.067,0.00980665,0.4511059,8.75733845,-207000,110000,-879000,98174.95728,32.08,-0.149999991,-0.766468048,-39.13334656,4,-0.68263793,1.204947591,-88.23760223,0,0
07:47.4,0.012,0.010333333,0.067,-0.04903325,0.496870267,8.6690786,-211333.3333,117000,-888666.6667,98174.70297,32.07666667,-0.149999991,-0.766468048,-39.13334656,4,-0.68263793,1.204947591,-88.23760223,0,0
07:47.4,0.004,0.012666667,0.067,-0.10787315,0.542634633,8.58081875,-215666.6667,124000,-898333.3333,98174.44865,32.07333333,-0.149999991,-0.766468048,-39.13334656,4,-0.68263793,1.204947591,-88.23760223,0,0
07:47.4,-0.004,0.015,0.067,-0.16671305,0.588399,8.4925589,-220000,131000,-908000,98174.19434,32.07,-0.149999991,-1.083040238,-242.9126663,4.5,-0.68263793,1.204947591,-88.23760223,0,0
07:47.5,0.143,0.017,0.046,-0.1569064,0.622722275,9.095667875,-226500,133500,-928000,98175.62256,32.07,-0.149999991,-1.399612427,-446.6919861,5,-0.68263793,1.204947591,-88.23760223,0,0
07:47.5,0.29,0.019,0.025,-0.14709975,0.65704555,9.69877685,-233000,136000,-948000,98177.05078,32.07,-0.119999997,98.60038757,-445.440918,6,-0.68263793,1.204947591,-88.23760223,0,0
07:47.6,0.575,0.0225,-0.013,0.00980665,0.475622525,9.586000375,-233000,136000,-948000,98177.15759,32.07,-0.119999997,98.60038757,-445.440918,6,-0.68263793,1.204947591,-88.23760223,0,0
07:47.6,0.86,0.026,-0.051,0.16671305,0.2941995,9.4732239,-233000,136000,-948000,98177.2644,32.07,-0.119999997,98.60038757,-445.440918,6,-0.68263793,1.204947591,-88.23760223,0,0
