time,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.fluid_pressure,field.temperature,field.alt_error,field.aspd_error,field.xtrack_error,field.wp_dist,field.measured.pitch,field.measured.roll,field.measured.yaw,fault_state,field.airspeed
18:07.0,0.707,-0.187,-0.23,-0.6276256,1.0198916,14.68055505,509000,-409000,-272000,98397.79663,32.64,0.930000007,-527.7538452,-34.46241379,6,-6.275187016,-2.169070482,-75.69083405,0,0
18:07.0,0.7655,-0.19,-0.2345,-0.701175475,0.93163175,13.94015298,441000,-385000,-298000,98398.19031,32.64,0.930000007,-527.7538452,-34.46241379,6,-6.275187016,-2.169070482,-75.69083405,0,0
18:07.1,0.824,-0.193,-0.239,-0.77472535,0.8433719,13.1997509,373000,-361000,-324000,98398.58398,32.64,1.090000033,-527.7538452,-32.7443428,8,-6.275187016,-2.169070482,-75.69083405,0,0
18:07.1,0.788666667,-0.213666667,-0.228666667,-0.712616567,0.77472535,13.50375705,398333.3333,-390333.3333,-305333.3333,98397.40193,32.64,1.090000033,-527.7538452,-32.7443428,8,-3.292975903,8.510416985,-72.92127991,0,0
18:07.2,0.753333333,-0.234333333,-0.218333333,-0.650507783,0.7060788,13.8077632,423666.6667,-419666.6667,-286666.6667,98396.21989,32.64,1.209999919,-556.9820557,-414.0871582,10,-3.292975903,8.510416985,-72.92127991,0,0
18:07.2,0.718,-0.255,-0.208,-0.588399,0.63743225,14.11176935,449000,-449000,-268000,98395.03784,32.64,1.209999919,-556.9820557,-414.0871582,10,-3.292975903,8.510416985,-72.92127991,0,0
18:07.2,0.76,-0.237,-0.2085,-0.38245935,0.612915625,14.37164558,510000,-527000,-223500,98398.80676,32.635,1.209999919,-556.9820557,-414.0871582,10,-3.292975903,8.510416985,-72.92127991,0,0
18:07.3,0.802,-0.219,-0.209,-0.1765197,0.588399,14.6315218,571000,-605000,-179000,98402.57568,32.63,1.299999952,-456.9820557,-412.3880005,12,-3.292975903,8.510416985,-72.92127991,0,0
18:07.3,0.901,-0.2015,-0.214,-0.12748645,0.4314926,14.24415913,588500,-623500,-161500,98404.54102,32.63,1.309999943,-455.6547776,-411.9738007,12.25,-3.292975903,8.510416985,-72.92127991,0,0
18:07.4,1,-0.184,-0.219,-0.0784532,0.2745862,13.85679645,606000,-642000,-144000,98406.50635,32.63,1.319999933,-454.3274994,-411.5596009,12.5,-3.292975903,8.510416985,-72.92127991,0,0
18:07.4,0.875,-0.202333333,-0.183333333,-0.094797617,0.2549729,14.40269997,572333.3333,-630666.6667,-152000,98403.42611,32.62666667,1.329999924,-453.0002213,-411.145401,12.75,-3.292975903,8.510416985,-72.92127991,0,0
18:07.4,0.75,-0.220666667,-0.147666667,-0.111142033,0.2353596,14.94860348,538666.6667,-619333.3333,-160000,98400.34587,32.62333333,1.339999914,-451.6729431,-410.7312012,13,-3.292975903,8.510416985,-72.92127991,0,0
18:07.5,0.625,-0.239,-0.112,-0.12748645,0.2157463,15.494507,505000,-608000,-168000,98397.26563,32.62,1.339999914,-451.6729431,-410.1901957,13.66666667,-2.231311369,14.42330424,-71.15773519,0,0
18:07.5,0.494,-0.2115,-0.0845,-0.112776475,0.1569064,14.85707475,472000,-589500,-179500,98399.71619,32.62,1.339999914,-451.6729431,-409.6491903,14.33333333,-1.169646834,20.3361915,-69.39419047,0,0
18:07.6,0.363,-0.184,-0.057,-0.0980665,0.0980665,14.2196425,439000,-571000,-191000,98402.16675,32.62,1.339999914,-451.6729431,-409.1081848,15,-0.1079823,26.24907875,-67.63064575,0,0
18:07.6,0.345,-0.161666667,-0.046666667,-0.26477955,0.169981933,12.98073572,423333.3333,-563666.6667,-191000,98402.06096,32.62,1.319999933,-449.6035614,-408.305069,16,-0.1079823,26.24907875,-67.63064575,0,0
18:07.6,0.327,-0.139333333,-0.036333333,-0.4314926,0.241897367,11.74182893,407666.6667,-556333.3333,-191000,98401.95516,32.62,1.299999952,-447.5341797,-407.5019531,17,-0.1079823,26.24907875,-67.63064575,0,0
18:07.7,0.309,-0.117,-0.026,-0.59820565,0.3138128,10.50292215,392000,-549000,-191000,98401.84937,32.62,1.24000001,-447.5341797,-405.929657,18,-0.1079823,26.24907875,-67.63064575,0,0
18:07.7,0.3735,-0.0825,-0.0705,-0.563882375,0.46091255,8.193456075,369000,-545500,-195500,98400.2472,32.615,1.24000001,-447.5341797,-405.929657,18,-0.1079823,26.24907875,-67.63064575,0,0
18:07.8,0.438,-0.048,-0.115,-0.5295591,0.6080123,5.88399,346000,-542000,-200000,98398.64502,32.61,1.24000001,-447.5341797,-405.929657,18,-0.1079823,26.24907875,-67.63064575,0,0
18:07.8,0.266,-0.06,-0.145666667,-0.621087833,0.75511205,6.779664033,335000,-538666.6667,-200666.6667,98398.37647,32.61,1.179999948,-432.4277954,-404.3911743,20,-0.1079823,26.24907875,-67.63064575,0,0
18:07.8,0.094,-0.072,-0.176333333,-0.712616567,0.9022118,7.675338067,324000,-535333.3333,-201333.3333,98398.10791,32.61,1.149999976,-432.4277954,-402.8778992,22,-0.1079823,26.24907875,-67.63064575,0,0
18:07.9,-0.078,-0.084,-0.207,-0.8041453,1.04931155,8.5710121,313000,-532000,-202000,98397.83936,32.61,1.149999976,-432.4277954,-402.8778992,22,1.210835814,36.15477753,-64.61774445,0,0
18:07.9,-0.025,-0.0525,-0.239,-0.779628675,0.75511205,8.62004535,303000,-518500,-209000,98394.90357,32.605,1.157499969,-426.8550949,-402.5059662,22.25,1.210835814,36.15477753,-64.61774445,0,0
18:08.0,0.028,-0.021,-0.271,-0.75511205,0.46091255,8.6690786,293000,-505000,-216000,98391.96777,32.6,1.164999962,-421.2823944,-402.1340332,22.5,1.210835814,36.15477753,-64.61774445,0,0
18:08.0,0.132666667,-0.029,-0.269333333,-0.77472535,0.467450317,8.9240515,287000,-497666.6667,-220666.6667,98391.02173,32.6,1.202499986,-415.7096939,-401.0351105,23.75,1.210835814,36.15477753,-64.61774445,0,0
18:08.0,0.237333333,-0.037,-0.267666667,-0.79433865,0.473988083,9.1790244,281000,-490333.3333,-225333.3333,98390.07568,32.6,1.24000001,-410.1369934,-399.9361877,25,1.210835814,36.15477753,-64.61774445,0,0
