time,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.fluid_pressure,field.temperature,field.alt_error,field.aspd_error,field.xtrack_error,field.wp_dist,field.measured,field.measured.1,field.measured.2,fault_state,field.airspeed
10:35.2,0.163,0.031,-0.06,-0.46091255,0.5295591,9.3163175,-58000,555000,-694000,98292.81006,30.22,-0.049999997,-363.1442871,-36.78755951,7,-1.391092896,-1.795334816,-67.69340515,0,0
10:35.2,0.231333333,0.030666667,-0.067666667,-0.388997117,0.34323275,8.917513733,-54000,554333.3333,-692000,98291.86401,30.22,-0.07,-363.1442871,-35.17641449,8,-1.391092896,-1.795334816,-67.69340515,0,0
10:35.3,0.299666667,0.030333333,-0.075333333,-0.317081683,0.1569064,8.518709967,-50000,553666.6667,-690000,98290.91797,30.22,-0.07,-363.1442871,-35.17641449,8,-2.019889653,-1.764052868,-68.11781693,0,0
10:35.3,0.368,0.03,-0.083,-0.24516625,-0.02941995,8.1199062,-46000,553000,-688000,98289.97192,30.22,-0.07,-363.1442871,-35.17641449,8,-2.648686409,-1.73277092,-68.5422287,0,0
10:35.4,0.36,0.0295,-0.0675,-0.3334261,-0.014709975,7.79628675,-41000,519000,-682000,98291.62598,30.22,-0.089999996,-372.7029724,-33.56800461,10,-2.648686409,-1.73277092,-68.5422287,0,0
10:35.4,0.352,0.029,-0.052,-0.42168595,9.15E-16,7.4726673,-36000,485000,-676000,98293.28003,30.22,-0.089999996,-372.7029724,-33.56800461,10,-2.648686409,-1.73277092,-68.5422287,0,0
10:35.4,0.353666667,0.002666667,-0.029333333,-0.4707192,0.045764367,8.446794533,-38000,482333.3333,-672666.6667,98293.38379,30.22,-0.079999998,-372.7029724,-472.9630127,11,-2.648686409,-1.73277092,-68.5422287,0,0
10:35.5,0.355333333,-0.023666667,-0.006666667,-0.51975245,0.091528733,9.420921767,-40000,479666.6667,-669333.3333,98293.48755,30.22,-0.079999998,-372.7029724,-472.9630127,11,-2.648686409,-1.73277092,-68.5422287,0,0
10:35.5,0.357,-0.05,0.016,-0.5687857,0.1372931,10.395049,-42000,477000,-666000,98293.59131,30.22,-0.079999998,-372.7029724,-472.9630127,11,-2.648686409,-1.73277092,-68.5422287,0,0
10:35.6,0.402,-0.032,0.014,-0.5295591,0.093163175,9.948846425,-36000,463500,-663000,98292.98706,30.215,-0.059999999,-274.053009,-471.3822632,13,-2.648686409,-1.73277092,-68.5422287,0,0
10:35.6,0.447,-0.014,0.012,-0.4903325,0.04903325,9.50264385,-30000,450000,-660000,98292.38281,30.21,-0.059999999,-274.053009,-471.3822632,13,-2.648686409,-1.73277092,-68.5422287,0,0
10:35.6,0.360666667,-0.017666667,0.014333333,-0.487063617,0.111142033,9.5516771,-25333.33333,420333.3333,-652666.6667,98292.69816,30.21,-0.029999999,-274.053009,-469.8014221,15,-2.648686409,-1.73277092,-68.5422287,0,0
10:35.7,0.274333333,-0.021333333,0.016666667,-0.483794733,0.173250817,9.60071035,-20666.66667,390666.6667,-645333.3333,98293.01351,30.21,-0.029999999,-274.053009,-469.8014221,15,-2.648686409,-1.73277092,-68.5422287,0,0
10:35.7,0.188,-0.025,0.019,-0.48052585,0.2353596,9.6497436,-16000,361000,-638000,98293.32886,30.21,-0.029999999,-274.053009,-469.8014221,15,-2.648686409,-1.73277092,-68.5422287,0,0
10:35.8,0.278,-0.008666667,0.010333333,-0.5295591,0.277855083,9.685701317,-7333.333333,331666.6667,-628333.3333,98294.66349,30.20666667,-0.015,-270.8926239,-469.0152588,15.5,-2.648686409,-1.73277092,-68.5422287,0,0
10:35.8,0.368,0.007666667,0.001666667,-0.57859235,0.320350567,9.721659033,1333.333333,302333.3333,-618666.6667,98295.99813,30.20333333,0,-267.7322388,-468.2290955,16,-2.648686409,-1.73277092,-68.5422287,0,0
10:35.8,0.458,0.024,-0.007,-0.6276256,0.36284605,9.75761675,10000,273000,-609000,98297.33276,30.2,0.02,-267.7322388,-467.438736,17,-2.73998797,3.862167835,-68.37604523,0,0
10:35.9,0.4795,0.032,-0.019,-0.750208725,0.34323275,9.5124505,19500,228000,-593500,98296.85669,30.2,0.039999999,-267.7322388,-466.6483765,18,-2.83128953,9.45710659,-68.20986176,0,0
10:35.9,0.501,0.04,-0.031,-0.87279185,0.32361945,9.26728425,29000,183000,-578000,98296.38062,30.2,0.039999999,-267.7322388,-466.6483765,18,-2.83128953,9.45710659,-68.20986176,0,0
10:36.0,0.495333333,0.039,-0.028666667,-0.9022118,0.30400615,9.146335567,35000,161666.6667,-570666.6667,98296.39689,30.19666667,0.099999994,-269.7671814,-465.0845337,20,-2.83128953,9.45710659,-68.20986176,0,0
