time,field.airspeed,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.fluid_pressure,field.temperature,field.alt_error,field.aspd_error,field.xtrack_error,field.wp_dist,field.commanded.pitch,field.measured.pitch,field.commanded.roll,field.measured.roll,field.commanded.yaw,field.measured.yaw,fault_state
2018-07-18 19:56:50.880,17.3264045715,0.528,-0.095,-0.085,-0.18632635,0.34323275,10.38524235,-39000.0,-260000.0,-410000.0,97013.37891,50.47,0.0699999985,-130.772686005,-181.3829269,12.0,-1.2400000095,-1.691939235,-30.55999947,6.437785149,-120.0,-95.81396484,0.0
2018-07-18 19:56:50.920,17.3264045715,0.528,-0.095,-0.085,-0.18632635,0.34323275,10.38524235,-39000.0,-260000.0,-410000.0,97013.37891,50.47,0.0699999985,-130.772686005,-181.3829269,12.0,-1.2400000095,-1.691939235,-30.55999947,6.437785149,-120.0,-95.81396484,0.0
2018-07-18 19:56:50.960,17.3264045715,0.528,-0.095,-0.085,-0.18632635,0.34323275,10.38524235,-39000.0,-260000.0,-410000.0,97013.37891,50.47,0.0699999985,-130.772686005,-181.3829269,12.0,-1.2400000095,-1.691939235,-30.55999947,6.437785149,-120.0,-95.81396484,0.0
2018-07-18 19:56:51.000,17.35863590237,0.528,-0.095,-0.085,-0.18632635,0.34323275,10.38524235,-39000.0,-260000.0,-410000.0,97013.37891,50.47,0.0699999985,-130.772686005,-181.3829269,12.0,-1.2400000095,-1.691939235,-30.55999947,6.437785149,-120.0,-95.81396484,0.0
2018-07-18 19:56:51.040,17.390867233239998,0.528,-0.095,-0.085,-0.18632635,0.34323275,10.38524235,-39000.0,-260000.0,-410000.0,97013.37891,50.47,0.0699999985,-130.772686005,-181.3829269,12.0,-1.2400000095,-1.691939235,-30.55999947,6.437785149,-120.0,-95.81396484,0.0
2018-07-18 19:56:51.080,17.42309856411,0.528,-0.095,-0.085,-0.18632635,0.34323275,10.38524235,-39000.0,-260000.0,-410000.0,97013.37891,50.47,0.0699999985,-130.772686005,-181.3829269,12.0,-1.2400000095,-1.691939235,-30.55999947,6.437785149,-120.0,-95.81396484,0.0
2018-07-18 19:56:51.120,17.45532989498,0.528,-0.095,-0.085,-0.18632635,0.34323275,10.38524235,-39000.0,-260000.0,-410000.0,97013.37891,50.47,0.0699999985,-130.772686005,-181.3829269,12.0,-1.2400000095,-1.691939235,-30.55999947,6.437785149,-120.0,-95.81396484,0.0
2018-07-18 19:56:51.160,17.48756122585,0.528,-0.095,-0.085,-0.18632635,0.34323275,10.38524235,-39000.0,-260000.0,-410000.0,97013.37891,50.47,0.0699999985,-130.772686005,-181.3829269,12.0,-1.2400000095,-1.691939235,-30.55999947,6.437785149,-120.0,-95.81396484,0.0
2018-07-18 19:56:51.200,17.51979255672,0.528,-0.095,-0.085,-0.18632635,0.34323275,10.38524235,-39000.0,-260000.0,-410000.0,97013.37891,50.47,0.0699999985,-130.772686005,-181.3829269,12.0,-1.2400000095,-1.691939235,-30.55999947,6.437785149,-120.0,-95.81396484,0.0
2018-07-18 19:56:51.240,17.55202388759,0.528,-0.095,-0.085,-0.18632635,0.34323275,10.38524235,-39000.0,-260000.0,-410000.0,97013.37891,50.47,0.0699999985,-130.772686005,-181.3829269,12.0,-1.2400000095,-1.691939235,-30.55999947,6.437785149,-120.0,-95.81396484,0.0
2018-07-18 19:56:51.280,17.58425521846,0.528,-0.095,-0.085,-0.18632635,0.34323275,10.38524235,-39000.0,-260000.0,-410000.0,97013.37891,50.47,0.0699999985,-130.772686005,-181.3829269,12.0,-1.2400000095,-1.691939235,-30.55999947,6.437785149,-120.0,-95.81396484,0.0
2018-07-18 19:56:51.320,17.61648654933,0.528,-0.095,-0.085,-0.18632635,0.34323275,10.38524235,-39000.0,-260000.0,-410000.0,97013.37891,50.47,0.0699999985,-130.772686005,-181.3829269,12.0,-1.2400000095,-1.691939235,-30.55999947,6.437785149,-120.0,-95.81396484,0.0
2018-07-18 19:56:51.360,17.6487178802,0.528,-0.095,-0.085,-0.18632635,0.34323275,10.38524235,-39000.0,-260000.0,-410000.0,97013.37891,50.47,0.0699999985,-130.772686005,-181.3829269,12.0,-1.2400000095,-1.691939235,-30.55999947,6.437785149,-120.0,-95.81396484,0.0
2018-07-18 19:56:51.400,17.709297603988887,0.528,-0.095,-0.085,-0.18632635,0.34323275,10.38524235,-39000.0,-260000.0,-410000.0,97013.37891,50.47,0.0699999985,-130.772686005,-181.3829269,12.0,-1.2400000095,-1.691939235,-30.55999947,6.437785149,-120.0,-95.81396484,0.0
2018-07-18 19:56:51.440,17.769877327777778,0.528,-0.095,-0.085,-0.18632635,0.34323275,10.38524235,-39000.0,-260000.0,-410000.0,97013.37891,50.47,0.0699999985,-130.772686005,-181.3829269,12.0,-1.2400000095,-1.691939235,-30.55999947,6.437785149,-120.0,-95.81396484,0.0
2018-07-18 19:56:51.480,17.830457051566665,0.528,-0.095,-0.085,-0.18632635,0.34323275,10.38524235,-39000.0,-260000.0,-410000.0,97013.37891,50.47,0.0699999985,-130.772686005,-181.3829269,12.0,-1.2400000095,-1.691939235,-30.55999947,6.437785149,-120.0,-95.81396484,0.0
2018-07-18 19:56:51.520,17.891036775355555,0.528,-0.095,-0.085,-0.18632635,0.34323275,10.38524235,-39000.0,-260000.0,-410000.0,97013.37891,50.47,0.0699999985,-130.772686005,-181.3829269,12.0,-1.2400000095,-1.691939235,-30.55999947,6.437785149,-120.0,-95.81396484,0.0
2018-07-18 19:56:51.560,17.951616499144443,0.528,-0.095,-0.085,-0.18632635,0.34323275,10.38524235,-39000.0,-260000.0,-410000.0,97013.37891,50.47,0.0699999985,-130.772686005,-181.3829269,12.0,-1.2400000095,-1.691939235,-30.55999947,6.437785149,-120.0,-95.81396484,0.0
2018-07-18 19:56:51.600,18.012196222933333,0.528,-0.095,-0.085,-0.18632635,0.34323275,10.38524235,-39000.0,-260000.0,-410000.0,97013.37891,50.47,0.0699999985,-130.772686005,-181.3829269,12.0,-1.2400000095,-1.691939235,-30.55999947,6.437785149,-120.0,-95.81396484,0.0
2018-07-18 19:56:51.640,18.07277594672222,0.528,-0.095,-0.085,-0.18632635,0.34323275,10.38524235,-39000.0,-260000.0,-410000.0,97013.37891,50.47,0.0699999985,-130.772686005,-181.3829269,12.0,-1.2400000095,-1.691939235,-30.55999947,6.437785149,-120.0,-95.81396484,0.0
2018-07-18 19:56:51.680,18.13335567051111,0.528,-0.095,-0.085,-0.18632635,0.34323275,10.38524235,-39000.0,-260000.0,-410000.0,97013.37891,50.47,0.0699999985,-130.772686005,-181.3829269,12.0,-1.2400000095,-1.691939235,-30.55999947,6.437785149,-120.0,-95.81396484,0.0
2018-07-18 19:56:51.720,18.1939353943,0.528,-0.095,-0.085,-0.18632635,0.34323275,10.38524235,-39000.0,-260000.0,-410000.0,97013.37891,50.47,0.0699999985,-130.772686005,-181.3829269,12.0,-1.2400000095,-1.691939235,-30.55999947,6.437785149,-120.0,-95.81396484,0.0
2018-07-18 19:56:51.760,18.118345022212495,0.528,-0.095,-0.085,-0.18632635,0.34323275,10.38524235,-39000.0,-260000.0,-410000.0,97013.37891,50.47,0.0699999985,-130.772686005,-181.3829269,12.0,-1.2400000095,-1.691939235,-30.55999947,6.437785149,-120.0,-95.81396484,0.0
2018-07-18 19:56:51.800,18.042754650125,0.528,-0.095,-0.085,-0.18632635,0.34323275,10.38524235,-39000.0,-260000.0,-410000.0,97013.37891,50.47,0.0699999985,-130.772686005,-181.3829269,12.0,-1.2400000095,-1.691939235,-30.55999947,6.437785149,-120.0,-95.81396484,0.0
2018-07-18 19:56:51.840,17.967164278037497,0.528,-0.095,-0.085,-0.18632635,0.34323275,10.38524235,-39000.0,-260000.0,-410000.0,97013.37891,50.47,0.0699999985,-130.772686005,-181.3829269,12.0,-1.2400000095,-1.691939235,-30.55999947,6.437785149,-120.0,-95.81396484,0.0
2018-07-18 19:56:51.880,17.891573905949997,0.528,-0.095,-0.085,-0.18632635,0.34323275,10.38524235,-39000.0,-260000.0,-410000.0,97013.37891,50.47,0.0699999985,-130.772686005,-181.3829269,12.0,-1.2400000095,-1.691939235,-30.55999947,6.437785149,-120.0,-95.81396484,0.0
2018-07-18 19:56:51.920,17.8159835338625,0.528,-0.095,-0.085,-0.18632635,0.34323275,10.38524235,-39000.0,-260000.0,-410000.0,97013.37891,50.47,0.0699999985,-130.772686005,-181.3829269,12.0,-1.2400000095,-1.691939235,-30.55999947,6.437785149,-120.0,-95.81396484,0.0
2018-07-18 19:56:51.960,17.740393161775,0.528,-0.095,-0.085,-0.18632635,0.34323275,10.38524235,-39000.0,-260000.0,-410000.0,97013.37891,50.47,0.0699999985,-130.772686005,-181.3829269,12.0,-1.2400000095,-1.691939235,-30.55999947,6.437785149,-120.0,-95.81396484,0.0
2018-07-18 19:56:52.000,17.6648027896875,0.528,-0.095,-0.085,-0.18632635,0.34323275,10.38524235,-39000.0,-260000.0,-410000.0,97013.37891,50.47,0.0699999985,-130.772686005,-181.3829269,12.0,-1.2400000095,-1.691939235,-30.55999947,6.437785149,-120.0,-95.81396484,0.0
2018-07-18 19:56:52.040,17.5892124176,0.528,-0.095,-0.085,-0.18632635,0.34323275,10.38524235,-39000.0,-260000.0,-410000.0,97013.37891,50.47,0.0699999985,-130.772686005,-181.3829269,12.0,-1.2400000095,-1.691939235,-30.55999947,6.437785149,-120.0,-95.81396484,0.0
2018-07-18 19:56:52.080,17.483129501344443,0.528,-0.095,-0.085,-0.18632635,0.34323275,10.38524235,-39000.0,-260000.0,-410000.0,97013.37891,50.47,0.0699999985,-130.772686005,-181.3829269,12.0,-1.2400000095,-1.691939235,-30.55999947,6.437785149,-120.0,-95.81396484,0.0
2018-07-18 19:56:52.120,17.377046585088888,0.528,-0.095,-0.085,-0.18632635,0.34323275,10.38524235,-39000.0,-260000.0,-410000.0,97013.37891,50.47,0.0699999985,-130.772686005,-181.3829269,12.0,-1.2400000095,-1.691939235,-30.55999947,6.437785149,-120.0,-95.81396484,0.0
2018-07-18 19:56:52.160,17.270963668833332,0.528,-0.095,-0.085,-0.18632635,0.34323275,10.38524235,-39000.0,-260000.0,-410000.0,97013.37891,50.47,0.0699999985,-130.772686005,-181.3829269,12.0,-1.2400000095,-1.691939235,-30.55999947,6.437785149,-120.0,-95.81396484,0.0
2018-07-18 19:56:52.200,17.164880752577776,0.528,-0.095,-0.085,-0.18632635,0.34323275,10.38524235,-39000.0,-260000.0,-410000.0,97013.37891,50.47,0.0699999985,-130.772686005,-181.3829269,12.0,-1.2400000095,-1.691939235,-30.55999947,6.437785149,-120.0,-95.81396484,0.0
2018-07-18 19:56:52.240,17.058797836322224,0.528,-0.095,-0.085,-0.18632635,0.34323275,10.38524235,-39000.0,-260000.0,-410000.0,97013.37891,50.47,0.0699999985,-130.772686005,-181.3829269,12.0,-1.2400000095,-1.691939235,-30.55999947,6.437785149,-120.0,-95.81396484,0.0
