time,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.fluid_pressure,field.temperature,field.alt_error,field.aspd_error,field.xtrack_error,field.wp_dist,field.measured.pitch,field.measured.roll,field.measured.yaw,fault_state,field.airspeed
55:38.3,0.401666667,-0.080666667,-0.105666667,-0.359577167,0.434761483,10.95402805,-18666.66667,-236000,-476333.3333,97158.34351,37.98,0.124999996,-346.0920868,-42.29777146,2,-6.358560562,17.74107742,-95.6631546,0,0
55:38.3,0.318333333,-0.084333333,-0.099333333,-0.385728233,0.467450317,11.20900095,-16333.33333,-242000,-473666.6667,97159.55811,37.98,0.179999992,-345.677948,-41.42830658,3,-6.358560562,17.74107742,-95.6631546,0,0
55:38.4,0.235,-0.088,-0.093,-0.4118793,0.50013915,11.46397385,-14000,-248000,-471000,97160.77271,37.98,0.179999992,-345.677948,-41.42830658,3,-6.358560562,17.74107742,-95.6631546,0,0
55:38.4,0.276333333,-0.092666667,-0.088666667,-0.438030367,0.523021333,11.64049355,-13666.66667,-250333.3333,-468333.3333,97160.45939,37.98,0.229999997,-345.677948,-211.6160698,3.5,-6.358560562,17.74107742,-95.6631546,0,0
55:38.4,0.317666667,-0.097333333,-0.084333333,-0.464181433,0.545903517,11.81701325,-13333.33333,-252666.6667,-465666.6667,97160.14608,37.98,0.280000001,-345.677948,-381.803833,4,-6.358560562,17.74107742,-95.6631546,0,0
55:38.5,0.359,-0.102,-0.08,-0.4903325,0.5687857,11.99353295,-13000,-255000,-463000,97159.83276,37.98,0.370000005,-251.0904236,-380.0540466,6,-6.358560562,17.74107742,-95.6631546,0,0
55:38.5,0.444,-0.106,-0.0925,-0.465815875,0.642335575,11.83172323,-13500,-262000,-451500,97160.44922,37.975,0.370000005,-251.0904236,-380.0540466,6,-6.358560562,17.74107742,-95.6631546,0,0
55:38.6,0.529,-0.11,-0.105,-0.44129925,0.71588545,11.6699135,-14000,-269000,-440000,97161.06567,37.97,0.370000005,-251.0904236,-380.0540466,6,-6.358560562,17.74107742,-95.6631546,0,0
55:38.6,0.524,-0.104666667,-0.121,-0.438030367,0.660314433,11.37244512,-13666.66667,-273666.6667,-434666.6667,97160.04028,37.97,0.409999997,-251.0904236,-379.1749115,7,-5.72073555,21.70539665,-93.77409744,0,0
55:38.6,0.519,-0.099333333,-0.137,-0.434761483,0.604743417,11.07497673,-13333.33333,-278333.3333,-429333.3333,97159.01489,37.97,0.449999988,-251.0904236,-378.2957764,8,-5.082910538,25.66971588,-91.88504028,0,0
55:38.7,0.514,-0.094,-0.153,-0.4314926,0.5491724,10.77750835,-13000,-283000,-424000,97157.9895,37.97,0.484999985,-249.2494507,-377.420868,9,-5.082910538,25.66971588,-91.88504028,0,0
55:38.7,0.4485,-0.085,-0.1515,-0.446202575,0.710982125,10.48821218,-9000,-292000,-424000,97159.93652,37.97,0.519999981,-247.4084778,-376.5459595,10,-5.082910538,25.66971588,-91.88504028,0,0
55:38.8,0.383,-0.076,-0.15,-0.46091255,0.87279185,10.198916,-5000,-301000,-424000,97161.88354,37.97,0.519999981,-247.4084778,-376.5459595,10,-5.082910538,25.66971588,-91.88504028,0,0
55:38.8,0.345333333,-0.068,-0.167,-0.483794733,0.849909667,10.21526042,-1333.333333,-304666.6667,-413000,97161.54174,37.96666667,0.589999974,-247.4084778,-374.7877197,12,-5.082910538,25.66971588,-91.88504028,0,0
55:38.8,0.307666667,-0.06,-0.184,-0.506676917,0.827027483,10.23160483,2333.333333,-308333.3333,-402000,97161.19995,37.96333333,0.589999974,-247.4084778,-374.7877197,12,-5.082910538,25.66971588,-91.88504028,0,0
55:38.9,0.27,-0.052,-0.201,-0.5295591,0.8041453,10.24794925,6000,-312000,-391000,97160.85815,37.96,0.669999957,-249.3776245,-373.0463562,13,-5.082910538,25.66971588,-91.88504028,0,0
55:38.9,0.282,-0.0325,-0.2125,-0.534462425,0.946341725,9.909619825,9000,-316500,-386000,97159.59168,37.96,0.669999957,-249.3776245,-373.0463562,13,-5.082910538,25.66971588,-91.88504028,0,0
55:39.0,0.294,-0.013,-0.224,-0.53936575,1.08853815,9.5712904,12000,-321000,-381000,97158.3252,37.96,0.709999979,-249.3776245,-372.1672364,14,-5.37723279,29.73426628,-89.66537094,0,0
55:39.0,0.275666667,-0.007,-0.253333333,-0.594936767,1.065655967,9.084226783,16666.66667,-322666.6667,-378333.3333,97158.7972,37.96,0.75,-249.3776245,-371.2881165,15,-5.671555042,33.79881668,-87.4457016,0,0
55:39.0,0.257333333,-0.001,-0.282666667,-0.650507783,1.042773783,8.597163167,21333.33333,-324333.3333,-375666.6667,97159.26921,37.96,0.75,-249.3776245,-371.2881165,15,-5.671555042,33.79881668,-87.4457016,0,0
55:39.1,0.239,0.005,-0.312,-0.7060788,1.0198916,8.11009955,26000,-326000,-373000,97159.74121,37.96,0.839999974,-345.6697388,-369.5635986,17,-5.671555042,33.79881668,-87.4457016,0,0
