time,field.airspeed,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.fluid_pressure,field.temperature,field.alt_error,field.aspd_error,field.xtrack_error,field.wp_dist,field.measured.pitch,field.measured.roll,field.measured.yaw,fault_state
42:23.8,0,-0.296,0.041333333,0.033666667,0.2353596,0.630894483,9.858952133,-5666.666667,231000,-293666.6667,97362.80111,37.85,7.919999599,245.1860352,9.889591217,155,-0.922396898,-10.12098885,119.1688766,0
42:23.9,0,-0.28,0.023,0.025,0.2549729,0.6276256,10.69905515,-1000,236000,-289000,97362.13989,37.85,7.919999599,245.1860352,9.889591217,155,-0.922396898,-10.12098885,119.1688766,0
42:23.9,0,-0.2125,0.024,0.0135,0.210842975,0.5687857,10.27246588,-7500,245000,-282000,97360.2478,37.85,7.919999599,245.1860352,9.889591217,155,-0.922396898,-10.12098885,119.1688766,0
42:24.0,0,-0.145,0.025,0.002,0.16671305,0.5099458,9.8458766,-14000,254000,-275000,97358.35571,37.85,7.819999695,245.1860352,9.37120533,154,-0.922396898,-10.12098885,119.1688766,0
42:24.0,0,-0.156,0.029,0.003,0.134024217,0.40207265,9.515719383,-10333.33333,256666.6667,-273666.6667,97359.84904,37.85,7.819999695,245.1860352,9.37120533,154,-0.922396898,-10.12098885,119.1688766,0
42:24.0,0,-0.167,0.033,0.004,0.101335383,0.2941995,9.185562167,-6666.666667,259333.3333,-272333.3333,97361.34236,37.85,7.739999771,230.0099335,10.36779881,152,-0.922396898,-10.12098885,119.1688766,0
42:24.1,0,-0.178,0.037,0.005,0.06864655,0.18632635,8.85540495,-3000,262000,-271000,97362.83569,37.85,7.739999771,230.0099335,10.36779881,152,-0.922396898,-10.12098885,119.1688766,0
42:24.1,0,-0.1825,0.0225,0.04,0.034323275,0.0980665,8.6690786,-8500,264000,-279000,97361.23352,37.85,7.739999771,230.0099335,10.36779881,152,-0.922396898,-10.12098885,119.1688766,0
42:24.2,0,-0.187,0.008,0.075,0,0.00980665,8.48275225,-14000,266000,-287000,97359.63135,37.85,7.659999847,230.0099335,9.786506653,151,-2.109158039,-15.61358356,118.7378922,0
42:24.2,0,-0.1745,-0.0055,0.1075,0.0196133,0.024516625,8.62004535,-17000,267500,-287000,97359.52149,37.845,7.629999876,227.5431595,9.51252079,150,-2.109158039,-15.61358356,118.7378922,0
42:24.2,0,-0.162,-0.019,0.14,0.0392266,0.0392266,8.75733845,-20000,269000,-287000,97359.41162,37.84,7.599999905,225.0763855,9.238534927,149,-2.109158039,-15.61358356,118.7378922,0
42:24.3,0,-0.122666667,-0.02,0.151333333,0.0196133,-0.04903325,8.495827783,-16333.33333,272000,-284666.6667,97358.86434,37.84,7.579999924,225.0763855,9.999996184,148,-2.109158039,-15.61358356,118.7378922,0
42:24.3,0,-0.083333333,-0.021,0.162666667,0,-0.1372931,8.234317117,-12666.66667,275000,-282333.3333,97358.31706,37.84,7.559999943,225.0763855,10.76145744,147,-2.109158039,-15.61358356,118.7378922,0
42:24.4,0,-0.044,-0.022,0.174,-0.0196133,-0.22555295,7.97280645,-9000,278000,-280000,97357.76978,37.84,7.559999943,225.0763855,10.76145744,147,-2.109158039,-15.61358356,118.7378922,0
