time,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.fluid_pressure,field.temperature,field.alt_error,field.aspd_error,field.xtrack_error,field.wp_dist,field.measured.pitch,field.measured.roll,field.measured.yaw,fault_state,field.airspeed
58:19.4,0.631666667,-0.236,0.212666667,-1.356586583,1.9024901,11.9248864,294333.3333,174000,-366333.3333,97286.26505,38.60666667,-0.479999974,-1111.598145,-30.81369782,11.5,-0.033101872,-24.79742241,19.21140862,0,0
58:19.4,0.478333333,-0.229,0.201333333,-1.379468767,1.85345685,13.337044,293666.6667,161000,-373666.6667,97285.84188,38.60333333,-0.529999971,-1111.598145,-29.44503021,13,-0.033101872,-24.79742241,19.21140862,0,0
58:19.5,0.325,-0.222,0.19,-1.40235095,1.8044236,14.7492016,293000,148000,-381000,97285.4187,38.6,-0.680000007,-1117.021973,-26.74485397,15,-0.033101872,-24.79742241,19.21140862,0,0
58:19.5,0.318,-0.209333333,0.2,-1.4121576,1.846919083,15.06628328,291333.3333,142333.3333,-386333.3333,97285.0769,38.6,-0.680000007,-1117.021973,-26.74485397,15,-0.033101872,-24.79742241,19.21140862,0,0
58:19.6,0.311,-0.196666667,0.21,-1.42196425,1.889414567,15.38336497,289666.6667,136666.6667,-391666.6667,97284.73511,38.6,-0.680000007,-1117.021973,-26.74485397,15,-0.033101872,-24.79742241,19.21140862,0,0
58:19.6,0.304,-0.184,0.22,-1.4317709,1.93191005,15.70044665,288000,131000,-397000,97284.39331,38.6,-0.859999955,-1090.091187,-512.739502,18,-0.033101872,-24.79742241,19.21140862,0,0
58:19.6,0.132,-0.146,0.2335,-1.475900825,1.8828768,13.69989005,281000,119500,-402500,97281.44837,38.595,-0.859999955,-1090.091187,-512.739502,18,-0.033101872,-24.79742241,19.21140862,0,0
58:19.7,-0.04,-0.108,0.247,-1.52003075,1.83384355,11.69933345,274000,108000,-408000,97278.50342,38.59,-1.100000024,-990.0911255,-513.4411621,21,2.629291058,-13.66551781,13.37676144,0,0
58:19.7,-0.242333333,-0.083,0.245,-1.5298374,1.93191005,11.4541672,269000,108666.6667,-410333.3333,97276.6683,38.58666667,-1.100000024,-990.0911255,-513.4411621,21,2.629291058,-13.66551781,13.37676144,0,0
58:19.8,-0.444666667,-0.058,0.243,-1.53964405,2.02997655,11.20900095,264000,109333.3333,-412666.6667,97274.83317,38.58333333,-1.235000015,-961.282074,-513.766388,22,2.629291058,-13.66551781,13.37676144,0,0
58:19.8,-0.647,-0.033,0.241,-1.5494507,2.12804305,10.9638347,259000,110000,-415000,97272.99805,38.58,-1.370000005,-932.4730225,-514.0916138,23,2.629291058,-13.66551781,13.37676144,0,0
58:19.8,-0.718666667,0.001,0.189333333,-1.53964405,2.209765133,11.23515202,251333.3333,124000,-415666.6667,97271.78345,38.58,-1.370000005,-932.4730225,-514.0916138,23,2.629291058,-13.66551781,13.37676144,0,0
58:19.9,-0.790333333,0.035,0.137666667,-1.5298374,2.291487217,11.50646933,243666.6667,138000,-416333.3333,97270.56885,38.58,-1.519999981,-932.4730225,-514.3959046,24.5,2.629291058,-13.66551781,13.37676144,0,0
58:19.9,-0.862,0.069,0.086,-1.52003075,2.3732093,11.77778665,236000,152000,-417000,97269.35425,38.58,-1.669999957,-932.4730225,-514.7001953,26,2.629291058,-13.66551781,13.37676144,0,0
58:20.0,-0.752,0.141,-0.08,-1.569064,1.87307015,10.198916,215000,189000,-411000,97269.98291,38.57,-1.669999957,-932.4730225,-514.7001953,26,2.629291058,-13.66551781,13.37676144,0,0
58:20.0,-0.712,0.143333333,-0.118,-1.605021717,1.654054967,10.2381426,205666.6667,203333.3333,-406000,97266.50391,38.56666667,-1.769999941,-914.741923,-514.8805338,27,2.213073612,-18.01393636,12.5270106,0,0
58:20.0,-0.672,0.145666667,-0.156,-1.640979433,1.435039783,10.2773692,196333.3333,217666.6667,-401000,97263.0249,38.56333333,-1.869999925,-897.0108236,-515.0608724,28,1.796856165,-22.36235492,11.67725977,0,0
58:20.1,-0.632,0.148,-0.194,-1.67693715,1.2160246,10.3165958,187000,232000,-396000,97259.5459,38.56,-1.969999909,-879.2797241,-515.2412109,29,1.380638719,-26.71077347,10.82750893,0,0
58:20.1,-0.4815,0.1275,-0.24,-1.681840475,0.769822025,9.0417313,173000,245000,-393000,97258.77686,38.56,-2.269999981,-879.2797241,-515.7225952,31,1.380638719,-26.71077347,10.82750893,0,0
58:20.2,-0.331,0.107,-0.286,-1.6867438,0.32361945,7.7668668,159000,258000,-390000,97258.00781,38.56,-2.269999981,-879.2797241,-515.7225952,31,1.380638719,-26.71077347,10.82750893,0,0
58:20.2,-0.259333333,0.096666667,-0.258,-1.6867438,0.12748645,7.75706015,150000,266666.6667,-389333.3333,97256.76066,38.55666667,-2.539999962,-879.2797241,-516.1537476,34,1.380638719,-26.71077347,10.82750893,0,0
58:20.2,-0.187666667,0.086333333,-0.23,-1.6867438,-0.06864655,7.7472535,141000,275333.3333,-388666.6667,97255.51351,38.55333333,-2.539999962,-879.2797241,-516.1537476,34,1.380638719,-26.71077347,10.82750893,0,0
58:20.3,-0.116,0.076,-0.202,-1.6867438,-0.26477955,7.73744685,132000,284000,-388000,97254.26636,38.55,-2.659999967,-861.461731,-516.347992,35,1.380638719,-26.71077347,10.82750893,0,0
58:20.3,-0.0575,0.0865,-0.1225,-1.691647125,-0.387362675,7.546217175,126000,292500,-390000,97251.01929,38.55,-2.779999971,-843.6437378,-516.5422363,36,1.380638719,-26.71077347,10.82750893,0,0
58:20.4,0.001,0.097,-0.043,-1.69655045,-0.5099458,7.3549875,120000,301000,-392000,97247.77222,38.55,-2.779999971,-843.6437378,-516.5422363,36,1.380638719,-26.71077347,10.82750893,0,0
58:20.4,-0.002,0.097,0.02,-1.722701517,-0.542634633,7.152316733,117666.6667,304666.6667,-394333.3333,97246.57186,38.54666667,-2.879999995,-821.7145691,-516.7197876,37.5,1.315203906,-27.61684418,11.84619332,0,0
58:20.4,-0.005,0.097,0.083,-1.748852583,-0.575323467,6.949645967,115333.3333,308333.3333,-396666.6667,97245.3715,38.54333333,-2.980000019,-799.7854004,-516.8973389,39,1.249769092,-28.52291489,12.86487771,0,0
58:20.5,-0.008,0.097,0.146,-1.77500365,-0.6080123,6.7469752,113000,312000,-399000,97244.17114,38.54,-3.059999943,-799.7854004,-517.0661927,40,1.184334279,-29.42898559,13.88356209,0,0
58:20.5,-0.005,0.102,0.208,-1.770100325,-0.5295591,6.055606375,108000,313500,-401500,97243.71643,38.54,-3.139999866,-799.7854004,-517.2350464,41,1.118899465,-30.3350563,14.90224648,0,0
58:20.6,-0.002,0.107,0.27,-1.765197,-0.4511059,5.36423755,103000,315000,-404000,97243.26172,38.54,-3.139999866,-799.7854004,-517.2350464,41,1.118899465,-30.3350563,14.90224648,0,0
58:20.6,-0.034666667,0.102666667,0.285,-1.77500365,-0.336694983,5.367506433,102000,316000,-405000,97242.31771,38.53666667,-3.269999981,-799.7854004,-517.5307007,44,1.118899465,-30.3350563,14.90224648,0,0
58:20.6,-0.067333333,0.098333333,0.3,-1.7848103,-0.222284067,5.370775317,101000,317000,-406000,97241.3737,38.53333333,-3.269999981,-799.7854004,-517.5307007,44,1.118899465,-30.3350563,14.90224648,0,0
58:20.7,-0.1,0.094,0.315,-1.79461695,-0.10787315,5.3740442,100000,318000,-407000,97240.42969,38.53,-3.269999981,-799.7854004,-517.5307007,44,1.118899465,-30.3350563,14.90224648,0,0
58:20.7,-0.057,0.0995,0.3135,-1.770100325,-0.1569064,5.271074375,103000,315000,-406500,97242.19666,38.525,-3.349999905,-769.2969971,-517.8265991,46,1.118899465,-30.3350563,14.90224648,0,0
58:20.8,-0.014,0.105,0.312,-1.7455837,-0.20593965,5.16810455,106000,312000,-406000,97243.96362,38.52,-3.349999905,-769.2969971,-517.8265991,46,-2.448999643,-30.54532623,12.27596188,0,0
58:20.8,-0.051666667,0.096,0.314,-1.817499133,-0.130755333,5.387119733,111666.6667,311333.3333,-405000,97242.40519,38.52,-3.364999891,-769.2969971,-517.9532166,47,-2.448999643,-30.54532623,12.27596188,0,0
