time,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.fluid_pressure,field.temperature,field.airspeed,field.measured.pitch,field.measured.roll,field.measured.yaw,field.alt_error,field.aspd_error,field.xtrack_error,field.wp_dist
18:01.0,-0.1205,-0.003,0.0255,-0.034323275,0.7256921,10.1400761,-240000,287500,-275500,98277.6886,31.395,0,-0.513939083,3.029597998,-85.02085114,0.25999999,-86.41433716,-39.71873856,3
18:01.1,-0.13,0.004,0.006,0.08825985,0.6668522,10.36562905,-259000,324000,-253000,98280.9021,31.39,0,-0.513939083,3.029597998,-85.02085114,0.25999999,-86.41433716,-39.71873856,3
18:01.1,-0.095333333,0.004,-0.011666667,0.16671305,0.545903517,10.24468037,-286333.3333,391666.6667,-211333.3333,98281.44735,31.39,0,-0.513939083,3.029597998,-85.02085114,0.359999985,-78.00798035,-38.42443848,4
18:01.2,-0.060666667,0.004,-0.029333333,0.24516625,0.424954833,10.12373168,-313666.6667,459333.3333,-169666.6667,98281.99259,31.39,0,-0.513939083,3.029597998,-85.02085114,0.359999985,-78.00798035,-38.42443848,4
18:01.2,-0.026,0.004,-0.047,0.32361945,0.30400615,10.002783,-341000,527000,-128000,98282.53784,31.39,0,-0.493534685,2.118080616,-85.38859559,0.404999987,-78.00798035,-37.77376748,5
18:01.2,0.0175,0.0045,-0.0515,0.196133,0.318716125,9.81645665,-315000,490500,-161500,98283.58765,31.385,0,-0.473130286,1.206563234,-85.75634003,0.449999988,-78.00798035,-37.12309647,6
18:01.3,0.061,0.005,-0.056,0.06864655,0.3334261,9.6301303,-289000,454000,-195000,98284.63745,31.38,0,-0.473130286,1.206563234,-85.75634003,0.5,-78.80244064,-214.6879826,6.5
18:01.3,0.16025,0.0035,-0.065,0.085808188,0.384911013,9.8262633,-284000,443250,-198250,98284.71222,31.3775,0,-0.473130286,1.206563234,-85.75634003,0.525000006,-79.19967079,-303.4704256,6.75
18:01.4,0.2595,0.002,-0.074,0.102969825,0.436395925,10.0223963,-279000,432500,-201500,98284.78699,31.375,0,-0.473130286,1.206563234,-85.75634003,0.550000012,-79.59690094,-392.2528687,7
18:01.4,0.35875,0.0005,-0.083,0.120131463,0.487880838,10.2185293,-274000,421750,-204750,98284.86175,31.3725,0,-0.473130286,1.206563234,-85.75634003,0.659999967,20.40309906,-390.9510498,8
18:01.4,0.458,-0.001,-0.092,0.1372931,0.53936575,10.4146623,-269000,411000,-208000,98284.93652,31.37,0,-0.473130286,1.206563234,-85.75634003,0.659999967,20.40309906,-390.9510498,8
18:01.5,0.624,-0.003,-0.1135,0.161809725,0.465815875,10.61569863,-269000,411000,-208000,98284.93652,31.37,0,-0.473130286,1.206563234,-85.75634003,0.659999967,20.40309906,-390.9510498,8
18:01.5,0.79,-0.005,-0.135,0.18632635,0.392266,10.81673495,-269000,411000,-208000,98284.93652,31.37,0,-0.608088672,6.326061726,-84.24906158,0.75999999,21.70133591,-389.6661987,10
18:01.6,0.893,0.01,-0.125,0.0980665,0.367749375,10.30678915,-272500,416500,-193500,98284.9823,31.37,0,-0.608088672,6.326061726,-84.24906158,0.75999999,21.70133591,-389.6661987,10
18:01.6,0.996,0.025,-0.115,0.00980665,0.34323275,9.79684335,-276000,422000,-179000,98285.02808,31.37,0,-0.608088672,6.326061726,-84.24906158,0.75999999,21.70133591,-389.6661987,10
18:01.6,0.951666667,0.025666667,-0.107666667,-0.0392266,0.349770517,9.5909037,-250000,345000,-194666.6667,98286.5031,31.36333333,0,-0.608088672,6.326061726,-84.24906158,0.859999955,21.70133591,-388.3475037,11
18:01.7,0.907333333,0.026333333,-0.100333333,-0.08825985,0.356308283,9.38496405,-224000,268000,-210333.3333,98287.97811,31.35666667,0,-0.608088672,6.326061726,-84.24906158,0.859999955,21.70133591,-388.3475037,11
18:01.7,0.863,0.027,-0.093,-0.1372931,0.36284605,9.1790244,-198000,191000,-226000,98289.45313,31.35,0,-0.608088672,6.326061726,-84.24906158,0.904999972,19.3775177,-387.7050629,11.5
18:01.8,0.788,0.018,-0.1035,-0.181423025,0.2745862,9.7674234,-198000,191000,-226000,98287.10938,31.35,0,-0.608088672,6.326061726,-84.24906158,0.949999988,17.05369949,-387.0626221,12
18:01.8,0.713,0.009,-0.114,-0.22555295,0.18632635,10.3558224,-198000,191000,-226000,98284.76563,31.35,0,-0.608088672,6.326061726,-84.24906158,0.949999988,17.05369949,-387.0626221,12
18:01.8,0.635,0.014666667,-0.105,-0.310543917,0.248435133,9.872027667,-193666.6667,163000,-225333.3333,98285.09725,31.34666667,0,-0.608088672,6.326061726,-84.24906158,1.049999952,17.05369949,-385.7523804,14
18:01.9,0.557,0.020333333,-0.096,-0.395534883,0.310543917,9.388232933,-189333.3333,135000,-224666.6667,98285.42888,31.34333333,0,-0.608088672,6.326061726,-84.24906158,1.049999952,17.05369949,-385.7523804,14
